0,1,2,3,4
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)",Defeated party (if applicable)
1800,1865,Temne War[1],"British Empire
Susu Tribes",Kingdom of Koya
1801,1805,Tripolitan War,"United States
Sweden (until 1802)
Sicily","Tripolitania
Morocco (1802)"
1801,1801,"War of the Oranges
Part of the War of the
Second Coalition","France
Spain",Portugal
1802,1804,"Fourth quarter of the
Haitian Revolution",Haiti,France
1802,1802,Sack of Karbala,Diriyah,Ottoman Empire
1802,1802,Stecklikrieg,Helvetic Republic,Federalist rebels
1802,1810,Tedbury's War,British Empire,Australian Aborigines
1803,1803,Souliote War,Ottoman Empire,Souliotes
1803,1803,Irish Rebellion of 1803,British Empire,Society of United Irishmen
1803,1805,"Second Anglo-Maratha
War",British East India Company,Maratha Empire
1803,1805,"Burmese–Siamese
War (1803–05)",Konbaung dynasty,Siam
1803,1805,First Kandyan War,British Empire,Kingdom of Kandy
1803,1815,Napoleonic Wars,"Coalition forces:
Austria[α][a][b]
Prussia[β]
Russia[γ][c]
United Kingdom
Baden
Bavaria[δ]
Brunswick[ε]
French royalists
Hanover[d]
Hungary[ζ][e]
Liechtenstein
Montenegro[η]
Nassau[ε]
Netherlands[ε]
Ottoman Empire[θ][f]
Papal States
Persia[θ][g]
Portugal[ι]","France and allies:
French Republic (until
1804)
French Empire (from 1804)
French clients:
Bonapartist Spain[i]
Confederation of the
Rhine[ξ][k][l]
Duchy of Warsaw[m]
Etruria[n]
Holland[o]
Italy
Lucca-Piombino
Naples[p]
Polish Legions[m]
Switzerland
Austria[a][q][ο]
Denmark–Norway[r][π]"
,,,"Sardinia[κ]
Saxony[δ]
Sicily[λ][h]
Spain[μ][i]
Sweden[ν][j]
Switzerland
Tuscany[ε]
Württemberg[δ]","Ottoman Empire[ρ][f]
Persia[σ][g]
Prussia[θ][q]
Russia[θ][c]
Spain[τ][i]
Sweden[υ][j]"
1803,1806,"War of the Third
Coalition
Part of the Napoleonic
Wars","French Empire and allies:
France
Batavian Republic
Italy
Etruria
Spain
Bavaria
Württemberg","Austrian Empire
Russian Empire
United Kingdom
Naples and Sicily
Sweden"
1803,1837,Padri War,"Adats
Netherlands",Padris
1804,1804,1804 Mtiuleti rebellion,Russian Empire,Georgian and Ossetian rebels
1804,1804,Battle of Suriname,United Kingdom,Batavian Republic
1804,1804,"Battle of Sitka
Part of the Russian
colonization of the
Americas",Russian Empire,"Tlingit
Kiks.ádi clan"
1804,1813,"First Serbian Uprising
Part of the Serbian
Revolution","Ottoman Empire
France","Revolutionary Serbia
Volunteers from
Habsburg monarchy
Russian Empire"
1804,1804,"Uprising against the
Dahije
Part of the First
Serbian Uprising",Karađorđe,Dahije
1804,1804,"Castle Hill convict
rebellion",New South Wales,Convicts
1804,1808,Fulani War,Sokoto Caliphate,Hausa Kingdoms
1804,1813,"Russo-Persian War
(1804–1813)
Part of the Napoleonic
Wars",Russian Empire,Qajar dynasty
1805,1811,"Egyptian Revolution
Part of the Napoleonic
Wars","Albanian forces of
Muhammad Ali","Ottoman Empire
Mamluk Forces"
1805,1805,Janissaries' Revolt,Ottoman Empire,Janissaries
,,,,
1805,1810,"Franco-Swedish War
Part of the Napoleonic
Wars",France,Sweden
1805,1805,"Haitian invasion of
Santo Domingo","France
Spain
Captaincy General
of Santo Domingo",First Empire of Haiti
1806,1807,"War of the Fourth
Coalition
Part of the Napoleonic
Wars","French Empire and allies:
France
Confederation of the
Rhine
Bavaria
Württemberg
Saxony (from Dec.
1806)
Polish Legions
Italy
Naples
Etruria
Holland
Swiss Confederation
Spain","Prussia
Russia
United Kingdom
Saxony (1806 only)
Sweden
Sicily"
1806,1812,"Russo-Turkish War
(1806–1812)
Part of the Napoleonic
Wars",Russian Empire,Ottoman Empire
1806,1807,"British invasions of the
Río de la Plata","Spain
Río de la Plata
Viceroyalty",United Kingdom
1806,1807,Ashanti–Fante War,"Ashanti Empire
Holland","Fante Confederacy
United Kingdom"
1806,1811,"War of Christophe's
Secession",Forces of Henri Christophe,Forces of Alexandre Pétion
1806,1806,Vellore Mutiny,British East India Company,Vellore Sepoys
1807,1809,"Anglo-Turkish War
(1807–1809)
Part of the Napoleonic
Wars",Ottoman Empire,United Kingdom
1807,1807,"Alexandria expedition
of 1807",Egypt,British Empire
1807,1807,Tican's rebellion,Austrian Empire,Serbian Rebels
1807,1807,Froberg mutiny,British Empire,Navy Mutineers
,,,,
1807,1807,"Brazilian slave revolt of
1807",Colonial Brazil,Rebels
1807,1808,Janissaries' Revolt,Ottoman Empire,Janissaries
1807,1814,"Gunboat War
Part of the Napoleonic
Wars",United Kingdom,Denmark–Norway
1807,1812,"Anglo-Russian War
(1807–1812)
Part of the Napoleonic
Wars",United Kingdom,Russian Empire
1807,1807,Basi Revolt,Spain,Rebels
1807,1814,"Peninsular War
Part of the Napoleonic
Wars","Portugal
United Kingdom
Spain",France
1807,1818,"Mtetwa Empire
Expansion",Mthethwa Paramountcy,Other Tribes
1807,1842,"New Zealand Musket
Wars",Māori,Māori
1807,1808,"Ottoman coups of
1807–08",Pro-reform factions,"Anti-reform factions
Janissaries"
1808,1810,Rum Rebellion,United Kingdom,New South Wales Corps
1808,1809,Finnish War,Russian Empire,Sweden
1808,1809,"Spanish reconquest of
Santo Domingo
Part of the Napoleonic
Wars","Spain
Santo Domingo
British Empire",France
1808,1809,"Dano-Swedish War of
1808–1809
Part of the Napoleonic
Wars","Denmark–Norway
France","Sweden
United Kingdom"
1808,1809,Travancore Rebellion,British Empire,"Travancore
Kingdom of Cochin"
1809,1809,Gurkha-Sikh War,Sikh Empire,Nepal
1809,1809,"Persian Gulf campaign
of 1809","United Kingdom
East India Company",Al Qasimi
1809,1809,Coup of 1809,Men of 1809,Sweden
1809,1809,"War of the Fifth
Coalition
Part of the Napoleonic
Wars","France
Duchy of Warsaw
Confederation of the
Rhine
Kingdom of Bavaria
Saxony
Württemberg
Westphalia
Italy
Naples
Swiss Confederation","Austria
Tyrol
Hungary
United Kingdom
Black Brunswickers
Sardinia
Sicily"
,,,Holland,
1809,1809,"1809 Gottscheer
Rebellion",France,Gottschee peasants
1809,1809,"Tyrol Rebellion
Part of the Napoleonic
Wars","Kingdom of Bavaria
First French Empire
Kingdom of Italy","Austrian Empire
Tyrolean Rebels"
1809,1812,"Quito Revolution
(1809-1812)
Part of the Spanish
American wars of
independence",Spain,Rebels
1809,1812,"Burmese–Siamese
War (1809–1812)",Siam,Burmese Empire
1809,1825,"Bolivian War of
Independence
Part of the Spanish
American wars of
independence",Bolivia,Spain
Start,Finish,Name of conflict,Belligerents,
,,,Victorious party (if applicable),Defeated party (if applicable)
1810,1818,"Argentine War of
Independence
Part of the Spanish
American wars of
independence","United Provinces of the Río
de la Plata
Chile",Spain
1810,1825,"Colombian War of
Independence
Part of the Spanish
American wars of
independence",Gran Colombia,Spain
1810,1811,"Tecumseh's War
Part of the War of
1812","United States
Chief Black Hoof",Tecumseh's Confederacy
1810,1810,"US occupation of West
Florida",United States,Spain
1810,1820,Punjab War,Sikh Empire,"British East India
Company
British Empire"
1810,1826,"Chilean War of
Independence
Part of the Spanish
American wars of
independence","Chile
United Provinces of the
Río de la Plata","Spain
Mapuche allies"
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes
1810,1818,Amadu's Jihad,Forces of Seku Amadu,Bamana Empire
