Start,End,Name of Conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1775,1783,"American
Revolutionary War","United States
France (1778–83)
Spain (1779–83)
Dutch Republic (1780–83)
Co-belligerents
Vermont (1777–83)
Oneida
Tuscarora
Watauga Association
Catawba
Lenape","Great Britain
Loyalists
German auxiliaries
Co-belligerents
Iroquois Confederacy
Onondaga
Mohawk
Cayuga
Seneca
Cherokee",,https://en.wikipedia.org/wiki/American_Revolutionary_War,https://en.wikipedia.org/wiki/American_Revolutionary_War,3975924.0
1789,1789,French Revolution,"Jacobins
Girondins
Sans-Culottes","Monarchists
Moderate Revolutionaries
Realists",,https://en.wikipedia.org/wiki/French_Revolution,,3891609.0
1618,1648,Thirty Years' War,"Protestant States and
Allies
Denmark-Norway
(1625–1629)
France (from 1635)
Bohemia (1618–
1620)
Sweden
Saxony
Dutch Republic
Electorate of the
Palatinate
Brunswick-Lüneburg
England (1625–
30)[9]
Brandenburg-
Prussia
Transylvania
Hungarian Anti-
Habsburg Rebels[10]
Zaporozhian
Cossacks
Ottoman Empire","Roman Catholic States and
Allies
Holy Roman
Empire[11]
Catholic League
Austria
Bohemia (after 1620)
Kingdom of
Hungary[12]
Kingdom of
Croatia[13]
Spain and its
possessions
Denmark-Norway
(1643–1645)[14]",,https://en.wikipedia.org/wiki/Thirty_Years'_War,,2121415.0
1756,1763,Seven Years' War,"Great Britain
Hanover
Prussia
Brunswick-Wolfenbüttel
Iroquois Confederacy","France
Austria
Russia (until 1762)
Spain (from 1761)
Sweden (1757–62)",,https://en.wikipedia.org/wiki/Seven_Years'_War,,1943021.0
1754,1763,"French and Indian War
","Great Britain
British America
Iroquois Confederacy
Wyandot
Catawba
Cherokee (before
1758))
Mingos (briefly)","France
New France
Wabanaki Confederacy
Abenaki
Algonquin
Caughnawaga Mohawk
Faction
Lenape
Miꞌkmaq
Ojibwa
Odawa
Shawnee","Seven
Years' War",https://en.wikipedia.org/wiki/French_and_Indian_War,,1315609.0
1701,1714,"War of the Spanish
Succession","Kingdom of France
Spain loyal to Philip
Bavaria (until 1704)","Holy Roman Empire:
Austria
Prussia
Hanover
England (until 1707)
Great Britain (from 1707) [17]
Dutch Republic
Duchy of Savoy
Kingdom of Portugal
Spain loyal to Charles",,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession,990803.0
1791,1804,Haitian Revolution,"Haiti
Great Britain
Spain (1793–1795)
French royalists","France
Polish Legions",,https://en.wikipedia.org/wiki/Haitian_Revolution,,941954.0
1700,1721,Great Northern War,"Tsardom of Russia
Kalmyk Khanate
Cossack Hetmanate
Denmark–Norway
(1700, 1709–20)
Electorate of Saxony
(1700–06, 1709–)
Poland–Lithuania
(1700–04, 1709–)
Kingdom of Prussia
(1715–20)
Electorate of Hanover
(1715–19)
Great Britain
(1717–19)","Swedish Empire
Holstein-Gottorp
Poland–Lithuania
(1704–09)
Ottoman Empire
(1710–14)
Cossack Hetmanate
(1708–09)
England (1700)
Great Britain (1719–21)
Dutch Republic (1700)
Duchy of Brunswick-
Lüneburg (1700)",,https://en.wikipedia.org/wiki/Great_Northern_War,,762201.0
1568,1648,Eighty Years' War,"United Provinces
England
German Protestants
Huguenots
France","Spanish Empire
Holy Roman Empire",,https://en.wikipedia.org/wiki/Eighty_Years'_War,,711533.0
1519,1521,"Spanish conquest of the Aztec
Empire","Spanish Empire
Tlaxcala",Aztec Triple Alliance,,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire,701921.0
1600,1600,Battle of Sekigahara,"Eastern Army: forces
loyal to Tokugawa Ieyasu","Western Army: forces loyal
to Ishida Mitsunari",,https://en.wikipedia.org/wiki/Battle_of_Sekigahara,,672562.0
1745,1746,"Jacobite rising of 1745
Also called ""The Forty-
Five""",Great Britain,"Jacobites
Kingdom of France",,https://en.wikipedia.org/wiki/Jacobite_rising_of_1745,,649087.0
1740,1748,"War of the Austrian
Succession","France
Prussia
Spain
Bavaria (1741–45)
Saxony (1741–42)
Sicily
Naples
Republic of Genoa
Sweden (1741–43)","Austria
Great Britain
Hanover
Dutch Republic
Saxony (1743–45)
Kingdom of Sardinia
Russia (1741–43, 1748)",,https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession,https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession,522213.0
1792,1797,"War of the First
Coalition
","France
Spain (from 1796)
Batavian Republic (from
1795)
French satellite states
Polish Legions (from
[21]
1795)","First Coalition:
Austria
[22]
Holy Roman Empire
Prussia (until 1795)
Great Britain
French Royalists
Spain (until 1795)
Portugal
Kingdom of Sardinia
Naples and Sicily
Other Italian states[23]","French
Revolutionary Wars",https://en.wikipedia.org/wiki/War_of_the_First_Coalition,https://en.wikipedia.org/wiki/War_of_the_First_Coalition,486998.0
1688,1697,Nine Years' War,"Grand Alliance:
Dutch Republic
England
Holy Roman Empire
Spain
Piedmont-Savoy
Sweden (until 1691)
Scotland",France,,https://en.wikipedia.org/wiki/Nine_Years'_War,,479398.0
1675,1678,King Philip's War,"New England
Confederation
Mohegan
Pequots","Wampanoag
Nipmuc
Podunk
Narragansett
Nashaway",,https://en.wikipedia.org/wiki/King_Philip's_War,,448228.0
