Start,Finish,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if\napplicable),Defeated party (if\napplicable),,,
1900,1905,1900–1905 phase of the\nMat Salleh Rebellion,British Empire\nNorth Borneo,Rebels,,,
1900,1920,Somaliland campaign,British Empire\nEthiopian Empire\nItalian Empire,Dervish State,,https://en.wikipedia.org/wiki/Somaliland_campaign,
1900,1900,War of the Golden Stool,British Empire,Ashanti Empire,,https://en.wikipedia.org/wiki/War_of_the_Golden_Stool,
1900,1905,Zande resistance[2],British Empire\nAnglo-Egyptian\nSudan,Sultan Yam-bio's rebel\nforces,,https://en.wikipedia.org/wiki/Zande_resistance?action=edit&redlink=1,
1900,1902,Muhammad Umar Khan's\nrebellion[3],British Empire\nState of Makran,Forces loyal to\nMuhammad Umar Khan,,https://en.wikipedia.org/wiki/Muhammad_Umar_Khan's_rebellion?action=edit&redlink=1,https://en.wikipedia.org/wiki/Muhammad_Umar_Khan's_rebellion?action=edit&redlink=1
1900,1900,1900 Hamawand revolt[4],Ottoman Empire,Hamawand rebels\nSupported by:\nSheikhs of\nSulaymaniyah and\nQaradāgh,,https://en.wikipedia.org/wiki/1900_Hamawand_revolt?action=edit&redlink=1,
1900,1900,1900 Sudan revolt[5],British Empire\nAnglo-Egyptian\nSudan,Sudanese rebels,,https://en.wikipedia.org/wiki/1900_Sudan_revolt?action=edit&redlink=1,
1900,1900,French conquest of\nBorno[5],France,Borno,,https://en.wikipedia.org/wiki/Battle_of_Kouss%C3%A9ri,https://en.wikipedia.org/wiki/Battle_of_Kouss%C3%A9ri
1900,1907,Unrest in Java[6],Dutch Empire,Peasant rebels\nLone-wolf robbers and\narsonists,,https://en.wikipedia.org/wiki/Unrest_in_Java?action=edit&redlink=1,
1900,1903,1900–1903 uprising in\nsouthwest Madagascar[7],France,Rebels,,https://en.wikipedia.org/wiki/1900%E2%80%931903_uprising_in_southwest_Madagascar?action=edit&redlink=1,https://en.wikipedia.org/wiki/1900%E2%80%931903_uprising_in_southwest_Madagascar?action=edit&redlink=1
1900,1900,Shoubak revolt of 1900,Ottoman Empire,Shoubakis,,https://en.wikipedia.org/wiki/Shoubak_revolts#Shoubak_revolt_of_1900,
1900,1900,Sharjah conquest of Ras\nAl Khaimah,Emirate of Sharjah,Ras Al Khaimah,,https://en.wikipedia.org/wiki/Saqr_bin_Khalid_Al_Qasimi#Retaking_Ras_Al_Khaimah,https://en.wikipedia.org/wiki/Saqr_bin_Khalid_Al_Qasimi#Retaking_Ras_Al_Khaimah
1900,1900,Russian invasion of\nManchuria,Russian Empire,Qing dynasty\nYìhéquán,,https://en.wikipedia.org/wiki/Russian_invasion_of_Manchuria,https://en.wikipedia.org/wiki/Russian_invasion_of_Manchuria
1900,1901,Mahsud Waziri blockade,British Empire\nBritish Raj,Mahsud rebels,,https://en.wikipedia.org/wiki/Mahsud_Waziri_blockade,
1900,1901,Kuwaiti–Rashidi war,Jabal Shammar,Kuwait\nHouse of Saud,,https://en.wikipedia.org/wiki/Kuwaiti%E2%80%93Rashidi_war,
,,,,Arab tribes\nAl-Muntafiq\nMutayr\nOtaibah\nAl-Dhafeer\nAjman tribe\nAl-Hawajir\nAl Murrah\nBani Khalid\nSubay'\nSuhool,,,
1901,1901,Risings among the Agar\nDinka[2],British Empire\nAnglo-Egyptian\nSudan,Agar Dinka rebels,,https://en.wikipedia.org/wiki/Risings_among_the_Agar_Dinka?action=edit&redlink=1,https://en.wikipedia.org/wiki/Risings_among_the_Agar_Dinka?action=edit&redlink=1
1901,1901,Bastaard uprising of\n1901[8],German Empire\nGerman South\nWest Africa,Bastaards from\nGrootfontein tribe,,https://en.wikipedia.org/wiki/Bastaard_uprising_of_1901?action=edit&redlink=1,https://en.wikipedia.org/wiki/Bastaard_uprising_of_1901?action=edit&redlink=1
1901,1907,Subjugation of Jambi[6],Dutch Empire,Jambi,,https://en.wikipedia.org/wiki/Subjugation_of_Jambi?action=edit&redlink=1,
1901,1901,French conquest of the\nDendi Kingdom[9],France,Dendi Kingdom,,https://en.wikipedia.org/wiki/French_conquest_of_the_Dendi_Kingdom?action=edit&redlink=1,https://en.wikipedia.org/wiki/French_conquest_of_the_Dendi_Kingdom?action=edit&redlink=1
1901,1903,Liberating Revolution\n(Venezuela),Venezuela,Liberal revolutionaries,,https://en.wikipedia.org/wiki/Liberating_Revolution_(Venezuela),https://en.wikipedia.org/wiki/Liberating_Revolution_(Venezuela)
1901,1902,Anglo-Aro War,British Empire,Aro Confederacy,,https://en.wikipedia.org/wiki/Anglo-Aro_War,
1901,1901,Battle of Holy Apostles\nMonastery,Armenian fedayi,Ottoman Empire,,https://en.wikipedia.org/wiki/Battle_of_Holy_Apostles_Monastery,https://en.wikipedia.org/wiki/Battle_of_Holy_Apostles_Monastery
1901,1903,1901 Mapondera\nRebellion,British Empire,Forces loyal to Kadungure\nMapondera,,https://en.wikipedia.org/wiki/Second_Matabele_War#1901_Mapondera_Rebellion,https://en.wikipedia.org/wiki/Second_Matabele_War#1901_Mapondera_Rebellion
1901,1936,Holy Man's Rebellion,French Indochina\nSiam,Phu Mi Bun Movement,,https://en.wikipedia.org/wiki/Holy_Man's_Rebellion,
