Started,Ended,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if\napplicable),Defeated party (if applicable),,,
1990,Ongoing,DHKP/C insurgency in\nTurkey,Government of\nTurkey\nTurkish Armed Forces\nTurkish Land\nForces\nTurkish Air Force\nTurkish Naval\nForces\nTurkish Gendarmerie\nJİTEM\nSpecial Forces\nCommand\nGeneral Directorate of\nSecurity\nRiot Police\nPolice Special\nOperation\nDepartment\nMinistry of Foreign\nAffairs\nNational Defense\nMinistry of the Interior,DHKP/C[1]\nTKP/ML[1]\nMLKP\nCommunist Party of Turkey\n(Workers Voice)\nSupported by:\nSyria (Until 2024)[2],,,
1990,1995,Eelam War II Part of\nthe Sri Lankan Civil\nWar,Sri Lanka,Liberation Tigers of Tamil\nEelam,,https://en.wikipedia.org/wiki/Eelam_War_II,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
1990,1991,Gulf War\n,United States\nUnited Kingdom\nFrance\nSaudi Arabia\nEgypt\nKuwait\nCoalition:\nAfghan mujahideen[3]\nArgentina\nAustralia\nBahrain\nBangladesh\nBelgium\nCanada\nCzechoslovakia\nDenmark\nGermany\nGreece\nHonduras\nHungary\nItaly\nJapan\nLuxembourg\nMorocco\nNetherlands\nNew Zealand\nNiger\nNorway\nOman\nPakistan\nPhilippines\nPoland\nPortugal\nQatar\nRomania\nSenegal\nSierra Leone\nSingapore\nSouth Korea\nSpain,Iraq,Arab Cold\nWar,https://en.wikipedia.org/wiki/Gulf_War,https://en.wikipedia.org/wiki/Arab_Cold_War
,,,Sweden\nSyria\nTurkey\nUnited Arab Emirates,,,,
1990,1994,Rwandan Civil War,Rwandan Patriotic\nFront (RPF),Rwanda\nZaire (1990)\nFrance,,https://en.wikipedia.org/wiki/Rwandan_Civil_War,
1990,1990,1990 Mindanao crisis\n,Philippines,Federal Republic of\nMindanao,1986–90\nPhilippine coup\nattempts,https://en.wikipedia.org/wiki/1990_Mindanao_crisis,https://en.wikipedia.org/wiki/1986%E2%80%9390_Philippine_coup_attempts
1990,1992,Transnistria War\n,Transnistria\nRussia[4][5]\nSupported by:\nUkraine[6],/ Moldova[a]\nSupported by:\nRomania,dissolution\nof the Soviet Union\nand the Transnistria\nconflict,https://en.wikipedia.org/wiki/Transnistria_War,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
1990,1995,Tuareg rebellion\n(1990–1995)\n,Niger\nMali\nGanda Koy,"Mali:\nArab Islamic Front of Azawad\n(FIAA),\nPopular Movement for the\nLiberation of Azawad (MPLA),\nUnited Movements and Fronts\nof Azawad (MFUA).\nNiger:\nFront for the Liberation of Aïr\nand Azaouak (FLAA),\nFront for the Liberation of\nTamoust, (FLT),\nCRA & ORA coalitions (1994–\n95)",Tuareg\nrebellions,https://en.wikipedia.org/wiki/Tuareg_rebellion_(1990%E2%80%931995),https://en.wikipedia.org/wiki/Tuareg_rebellion_(1990%E2%80%931995)
1991,1992,1991–1992 South\nOssetia War\n,South Ossetia\nRussia[7]\n(1992),Georgia,"Georgian–\nOssetian conflict,\nGeorgian Civil War,\nand Dissolution of the\nSoviet Union",https://en.wikipedia.org/wiki/1991%E2%80%931992_South_Ossetia_War,https://en.wikipedia.org/wiki/1991%E2%80%931992_South_Ossetia_War
"1981/1988/1991
(disputed)",Ongoing,Somali Civil War\n,1980s–1991:\nSomali Democratic\nRepublic\nSNA (until 1991)\nSupported by:\nDjibouti[8][9]\nItaly[10]\nLibya[11][12]\nSaudi Arabia[11]\nSouth Africa[12]\nUnited\nStates[13][14][11]\n1991–1995:\nUnited Nations\nUNOSOM I\nAustralia\nAustria\nBelgium\nBotswana\nCanada\nCzechia\nEgypt\nFiji\nFinland\nIndonesia\nJordan,1980s–1991:\nArmed rebel groups\nUSC\nSSDF\nSPM\nSupported by:\nEthiopia[40][41]\n1980s–1991:\nSomali National Movement\nSupported by:\nEthiopia[42][43]\n1991–1995:\nUSC\nSNA\nAl-Itihaad\n1995–2006:\nSRRC\nSNA\nSPM-Harti\nIslamic Courts Union,"Conflicts in the\nHorn of Africa, The\nEthiopian-Somali conflict,\nWar against the Islamic\nState, Operation Enduring\nFreedom – Horn of Africa,\nand Global War on\nTerrorism",https://en.wikipedia.org/wiki/Somali_Civil_War,https://en.wikipedia.org/wiki/Conflicts_in_the_Horn_of_Africa
