Started,Ended,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if applicable),Defeated party (if applicable),,,
2004,2010,Sinaloa Cartel–Gulf Cartel conflict\n,Sinaloa cartel\nLos Negros,Gulf cartel\nLos Zetas,Mexican drug war (from 2006\nto 2010),,
2004,Ongoing,South Thailand insurgency,"Thailand\nRoyal Thai Armed Forces (RTARF)\nRoyal Thai Police (RTP)\nAnti-Money Laundering Office (AMLO)\nDepartment of Provincial Administration\n(DOPA)\nDepartment of Special Investigation (DSI)\nInternal Security Operations Command\n(ISOC)\nNational Intelligence Agency (NIA)\nOffice of the Narcotics Control Board\n(ONCB)\nSouthern Border Provinces Administrative\nCentre (SBPA)\nSupported by:\nMalaysia\nIndonesia\nQatar\nBahrain\nTurkey\nGermany\nNew Zealand (forensic science)\nAustralia (intelligence support)\nRussia (intelligence support)\nCanada (mine clearance)\nUnited States ( CIA, EOD, K-9)",Barisan Revolusi Nasional\nRunda Kumpulan Kecil\nGerakan Mujahidin Islam Patani\nIslamic Front for the Liberation of Pattani\nPattani United Liberation\nOrganisation\nFormer support:\nFree Aceh Movement (until 2005)\nMayaki cartel (financial support)\nJemaah Islamiyah (until 2024)\nIslamic State\nEast Asia Province\nDrug cartels\nMayaki cartel\nXaysana cartel\nUsman cartel\nOil smugglers\nPirates,,https://en.wikipedia.org/wiki/South_Thailand_insurgency,
2004,Ongoing,Insurgency in Khyber Pakhtunkhwa\n,"Pakistan\nPakistan Armed Forces\nPakistan Army\nPakistan Air Force\nSpecial Forces:\nSSG\nSSW\nCivil Armed Forces\nFrontier Corps\nFC KPK North\nFC KPK South\nPakistan Rangers\nPakistan Levies\nPakistan Police\nCounter Terrorism Department\nKPK Police\nFrontier Constabulary\nDir Levies\nMalakand Levies\nPakistani Intelligence community\nNACTA\nISI\nMI\nFIA\nUnited States (see Drone strikes in\nPakistan, until 2018)",Insurgents\nPakistani Taliban\nJamaat-ul-Ahrar[c]\nTNSM[d]\nLashkar-e-Islam[e]\nTariq Gidar Group\nTehreek-e-Jihad Pakistan\nInqilab E Islami Pakistan (IIP)\nHafiz Gul Bahadur Group\nJaish-e-Fursan-e-Muhammad\nAl-Qaeda\nAl-Qaeda in the Indian\nSubcontinent\nFormer belligerents\nJundallah (until 2014)\nIslamic Movement of Uzbekistan\n(until 2015)\nTurkistan Islamic Party (until 2015)\nLashkar-e-Jhangvi (until 2024)\nSipah-e-Sahaba (until 2018)\nSupported by:\nAfghanistan\nIslamic State\nIslamic State – Pakistan Province\nKhorasan Province\nJundallah\nIMU\nJamaat-ul-Ahrar,war on terror and the\nspillover of the War in Afghanistan\n(2001–2021),https://en.wikipedia.org/wiki/Insurgency_in_Khyber_Pakhtunkhwa,https://en.wikipedia.org/wiki/War_on_terror
2004,Ongoing,Iran–PJAK conflict\n,"Iran\nSupported by:\nTurkey (allegedly, denied by Iran)\nUnited States (alleged by PJAK,\nsince 2009)",Kurdistan Free Life Party\n(PJAK)\nEastern Kurdistan Units (YRK)\nWomen's Defence Forces (HPJ),Kurdish separatism in Iran,https://en.wikipedia.org/wiki/Iran%E2%80%93PJAK_conflict,https://en.wikipedia.org/wiki/Kurdish_separatism_in_Iran
2003,Ongoing,Conflict in the Niger Delta,Nigerian government\nNiger Delta Revolutionary Crusaders\n(since 2019)\nNigerian Armed Forces\nList\nAbia State\nAkwa Ibom State\nBayelsa State,Niger Delta Republic\nNiger Delta Avengers\n(2016–present)\nNiger Delta Greenland Justice\nMandate\n(2016–present)\nJoint Niger Delta Liberation Force\n(2016–present),,https://en.wikipedia.org/wiki/Conflict_in_the_Niger_Delta,
,,,Cross River State\nDelta State\nEdo State\nImo State\nOndo State\nRivers State\nsupported by:\nBelarus,Niger Delta Red Squad\n(2016–present)\nAdaka Boro Avengers\n(2016–present)\nAsawana Deadly Force of Niger\nDelta\n(2016–present)\nNiger Delta Revolutionary Crusaders\n(2016–present)\nNew Delta Avengers (2017–present)\nNiger Delta Marine Force\n(2017–present)\nReformed Egbesu Fraternities\nRed Egbesu Water Lions\n(2016–present)\nReformed Egbesu Boys of the Niger\nDelta\n(2016–present)\nEgbesu Mightier Fraternity\n(2016–present)\nBiafran separatists (from\n2021)\nMovement for the Emancipation of\nthe Niger Delta\n(2004–14)\nNiger Delta People's Volunteer Force\n(2003–09)\nNiger Delta Liberation Front\n(2005–14)\nJoint Revolutionary Council\n(2004–14)\nNiger Delta Vigilante\n(2004–09)\nSupported by:\nIPOB elements\nBandits\nPirates\nNigerian mafia\nBlack Axe\nThe Outlaws\nEiye,,,
2004,Ongoing,Kivu conflict\n,Pro-government:\nDR Congo\nWazalendo (March 2024–)\nNDC-R\nBurundi\nMONUSCO\nAngola\nZimbabwe\nBotswana (against FNL and FNL–\nNzabampema)\nSupported by:\nFrance\nBelgium\nBulgaria\nHorațiu Potra's Mercenary Legion (until 31 Jan\n2025),Rwandan-aligned militias:\nCNDP\nM23\nBanyamulenge\nTwigwaneho\nGumino\nUgandan-aligned militias:\nFPRI\nFPLC\nFPDC\nForeign state actors:\nUganda\nRwanda\nAnti-Ugandan forces:\nIS-CAP\nADF-Baluku\nADF-Mukulu\nMai-Mai Kyandenga\nUPLC\nAnti-Rwandan militias:\nFDLR\nRUD-Urunana\nOther Hutu-aligned forces\nNyatura\nAnti-Burundi militias:\nRED-Tabara\nFNL\nMai-Mai militias:\nNDC-R (until March 2024)\nFPP-AP\nAFRC\nRNL\nMazembe\nKifuafua\nSimba,aftermath of the Second\nCongo War,https://en.wikipedia.org/wiki/Kivu_conflict,https://en.wikipedia.org/wiki/Second_Congo_War
,,,,MAC\nRaia Mutomboki\nBuhirwa\nKidjangala\nFuliru Mai-Mai\nMakanaki\nBiloze Bishambuke\nCNPSC\nAlaise\nCODECO (in Ituri)\nChini ya Kilima–FPIC (in Ituri)\nZaïre-FPAC (in Ituri),,,
2004,2014,Houthi insurgency\n,Houthi Movement\nYemen (pro-Saleh forces)\nAlleged support by:\nIran\nNorth Korea\nLibya (until 2011),Yemen\nSecurity Forces\nSunni tribes\nAl-Islah militias\nSaudi Arabia\nSupported by:\nJordan\nMorocco\nal-Qaeda\nAnsar al-Sharia,Yemeni crisis and the Iran–\nSaudi Arabia proxy conflict,https://en.wikipedia.org/wiki/Houthi_insurgency,https://en.wikipedia.org/wiki/Yemeni_crisis_(2011%E2%80%93present)
