Started,Ended,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if\napplicable),Defeated party (if\napplicable),,,
2020,Ongoing,Gang war in Haiti\nPart of crime in Haiti\nand the Haitian\ncrisis,Haitian security forces\nHaitian National Police\nHaitian Armed Forces\nUnited States Armed\nForces\nMSSMH\nKenya[1]\nJamaica[2]\nBelize\nBahamas\nVatican City\nGuatemala[3]\nEl Salvador[3]\nSupport:\nUnited States[4]\n[5]\nCanada\nFrance[6]\nSpain\nGermany\nMexico\nAlgeria,"Viv Ansanm\nG11\nDelmas 6\nBaz Pilate\nBaz Krache Dife\nBaz Nan Chabon\n(Waf Jérémie)\nNan Boston\nG-Pèp\n400 Mawozo\nNan Brooklyn\nChen Mechan\nKraze Baryè\n5 Segond\nGran Ravine\nTaliban (Canaan)\nMariani\nTi Bwa\nNan Ti Bwa\nSimon Pelé\nBelekou\nOther affiliated groups\nProtesters, self-defense\ngroups, and other armed\nfactions\nBwa kale vigilantes\nBrigade for the Security\nof Protected Areas",,,
2020,2021,2020–2021 China–\nIndia skirmishes\n,China,India,Sino-\nIndian border\ndispute,https://en.wikipedia.org/wiki/2020%E2%80%932021_China%E2%80%93India_skirmishes,https://en.wikipedia.org/wiki/2020%E2%80%932021_China%E2%80%93India_skirmishes
2020,Ongoing,Belarusian partisan\nmovement,Belarus,Belarusian opposition\nCoordination Council\nBYPOL\nBELPOL,,https://en.wikipedia.org/wiki/Belarusian_partisan_movement_(2020%E2%80%93present),https://en.wikipedia.org/wiki/Belarusian_partisan_movement_(2020%E2%80%93present)
2020,Ongoing,Western Togoland\nRebellion,Ghana\nGhana Armed Forces\nMinister for Defence,Western Togoland\nWestern Togoland\nRestoration Front,,https://en.wikipedia.org/wiki/Western_Togoland_Rebellion,https://en.wikipedia.org/wiki/Western_Togoland_Rebellion
2020,2020,Second Nagorno-\nKarabakh War\nPart of the\nNagorno-Karabakh\nconflict,Azerbaijan\nTurkey (alleged by\nArmenia)[7]\nSyrian\nmercenaries[a][10],Artsakh\nArmenia,,https://en.wikipedia.org/wiki/Second_Nagorno-Karabakh_War,https://en.wikipedia.org/wiki/Second_Nagorno-Karabakh_War
2020,2024,Afar–Somali\nclashes,Somali Region,Afar Region,,https://en.wikipedia.org/wiki/Afar%E2%80%93Somali_clashes,https://en.wikipedia.org/wiki/Afar%E2%80%93Somali_clashes
2020,2022,Tigray war\nPart of the\nEthiopian civil\nconflict,Tigray\nOLA (2021–22)[11],Ethiopia[12]\nEritrea[13],,https://en.wikipedia.org/wiki/Tigray_war,https://en.wikipedia.org/wiki/Ethiopian_civil_conflict_(2018%E2%80%93present)
2020,Ongoing,Western Saharan\nclashes,Kingdom of Morocco,Sahrawi Arab\nDemocratic Republic,,https://en.wikipedia.org/wiki/Western_Saharan_clashes_(2020%E2%80%93present),https://en.wikipedia.org/wiki/Western_Saharan_clashes_(2020%E2%80%93present)
,,,,,Western\nSahara conflict,https://en.wikipedia.org/wiki/Western_Sahara_conflict,https://en.wikipedia.org/wiki/Western_Sahara_conflict
2020,2022,Al-Fashaga conflict\n,Sudan,Amhara militias\nAlleged:\nEthiopia\nEritrea[14],Spillover\nof the Tigray war,https://en.wikipedia.org/wiki/Al-Fashaga_conflict,https://en.wikipedia.org/wiki/Spillover_of_the_Tigray_war
2021,Ongoing,Insurgency in\nSoutheastern\nNigeria\n,Biafran separatists\nOduduwa separatists\n(only against Fulani\nherders),Nigeria\nSpillover into Bakassi:\nCameroon,herder–\nfarmer conflicts in\nNigeria and the\nconflict in the Niger\nDelta,https://en.wikipedia.org/wiki/Insurgency_in_Southeastern_Nigeria,https://en.wikipedia.org/wiki/Insurgency_in_Southeastern_Nigeria
2021,2021,2021 Kyrgyzstan–\nTajikistan clashes\n,Kyrgyzstan,Tajikistan,post-\nSoviet conflicts,https://en.wikipedia.org/wiki/2021_Kyrgyzstan%E2%80%93Tajikistan_clashes,https://en.wikipedia.org/wiki/2021_Kyrgyzstan%E2%80%93Tajikistan_clashes
2021,Ongoing,Myanmar civil war\nPart of the\nMyanmar conflict,State Administration Council\nTatmadaw\nMyanmar Army\nBorder\nGuard Forces[b]\nMyanmar Air\nForce\nMyanmar\nNavy[15]\nMyanmar Coast\nGuard\nMyanmar\nPolice Force\nBorder\nGuard Police\nPyusawhti militias\nThway Thout[16]\nAligned ethnic armed\norganisations\nArakan Liberation\nArmy\nPa-O National\nArmy\nKaren National\nArmy\nShanni\nNationalities Army\nZomi Revolutionary\nArmy[c]\nWuyang People's\nMilitia\nArakan Rohingya\nSalvation Army[19]\nRohingya Solidarity\nOrganisation\nSmaller pro-SAC ethnic\narmed organisations,National Unity Government\nPeople's Defence\nForce[20][21]\nAllied ethnic armed\norganisations\nNorthern Alliance[22]\nKachin\nIndependence Army\nBrotherhood\nAlliance\nArakan Army\nMyanmar\nNational\nDemocratic\nAlliance Army\nTa'ang\nNational\nLiberation Army\n4K Coalition[23]\nKaren National\nLiberation Army\nKarenni Army\nKarenni National\nPeople's Liberation\nFront (since 2023)\nKarenni\nNationalities Defence\nForce\nChinland Council\nChin National\nArmy\nChinland\nDefence Force\nChin Brotherhood\nAlliance\nChin National\nDefence Force\nZoland Defence\nForce\nKaren National\nDefence Organisation\nBamar People's\nLiberation Army,,https://en.wikipedia.org/wiki/Myanmar_civil_war_(2021%E2%80%93present),https://en.wikipedia.org/wiki/Myanmar_conflict
,,,,Pa-O National\nLiberation Army (since\n2024)[24]\nSmaller ethnic armed\norganisations[25]\nOther organisations\nAll Burma Students'\nDemocratic Front\nPeople's Liberation\nArmy (Myanmar)\nAnti-Fascist\nInternationalist Front\nSmall independent anti-\nSAC guerrilla groups[d],,,
2021,2021,2021 Israel–\nPalestine crisis\n,Israel\nIsrael Defense\nForces\nIsraeli Air Force\nIsrael Police\nIsrael Border\nPolice\nShin Bet[27]\nJewish Israeli protesters,"Gaza Strip\nHamas\nPalestinian Islamic\nJihad\nPopular Front for\nthe Liberation of\nPalestine\nAl-Aqsa Martyrs'\nBrigades[28]\nSmaller militant groups[e]\nProtesters in Israel and\nPalestine\nArab Israeli protesters\nPalestinian protesters in\nthe West Bank and\nJerusalem\nJordanian, Lebanese, and\nSyrian protesters (see\ninternational)",Israeli–\nPalestinian conflict,https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis,https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis
2021,Ongoing,Armenia–Azerbaijan\nborder crisis\nPart of the\nNagorno-Karabakh\nconflict,Armenia,Azerbaijan,,https://en.wikipedia.org/wiki/Armenia%E2%80%93Azerbaijan_border_crisis_(2021%E2%80%93present),https://en.wikipedia.org/wiki/Armenia%E2%80%93Azerbaijan_border_crisis_(2021%E2%80%93present)
2021,Ongoing,Republican\ninsurgency in\nAfghanistan\n,Islamic Emirate of\nAfghanistan\nTaliban\nal-Qaeda (alleged)[30]\nSupported by:\nPakistan (until 2024;\nunconfirmed),"Islamic Republic of\nAfghanistan loyalists[note 1]\nNational Resistance\nFront (NRF)\nAhmad Khan\nSamangani Front[32]\nAfghanistan Freedom\nFront\nAfghanistan Islamic\nNational & Liberation\nMovement\nMany smaller\nfactions[note 2]\nSupported by:\nTajikistan (alleged)[33]\nPakistan (alleged, since\n2024)[34]\nIndependent militias",Afghan\nconflict,https://en.wikipedia.org/wiki/Republican_insurgency_in_Afghanistan,https://en.wikipedia.org/wiki/Republican_insurgency_in_Afghanistan
,,nan,nan,nan,,,
2021,2021,2021 Afghanistan–\nIran clashes\n,Afghanistan,Iran,spillover\nof the Afghanistan\nconflict,https://en.wikipedia.org/wiki/2021_Afghanistan%E2%80%93Iran_clashes,https://en.wikipedia.org/wiki/2021_Afghanistan%E2%80%93Iran_clashes
2022,Ongoing,Chittagong Hill\nTracts conflict\nPart of terrorism in\nBangladesh,Bangladesh\nPCJSS-MN Larma\nUPDF-D,PCJSS\nUPDF\nKuki-Chin National Front,,https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts_conflict,https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts_conflict
2022,Ongoing,Russian invasion of\nUkraine\n,Russia\nDonetsk PR\nLuhansk PR\nBelarus[f]\nNorth Korea,Ukraine,Russo-\nUkrainian War\n(outline),https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
2022,Ongoing,M23 campaign\n,Congo River Alliance\n(from Dec 2023)\nM23 Movement\nTwirwaneho (from Feb\n2025)\nRED-Tabara (from Feb\n2025)[37]\nMai-Mai Rushaba (from\nMarch 2025)[38]\nRwanda[g],DR Congo\nMONUSCO\nPakistan[39]\nIndia[42]\nRussia[39]\nSerbia[39]\nTanzania[43]\nMorocco[44][45]\nMalawi[46] (until\n2025)[47]\nSouth Africa[46]\nEAC Regional Force\nUganda (March –\nJune 2022)[48][49]\nBurundi (August\n2022–present)[50][51]\nKenya (from\nNovember 2022)[52]\nSouth Sudan (from\nDecember 2022)[53]\nSADC Mission in DRC\n(until 2025)[54]\nFDLR[41][55][56]\nWazalendo\nNduma Defense of\nCongo-Renovated\nPro-government Mai-\nMai[57]\nPro-government Nyatura\nfactions[57]\nAPCLS[58],Kivu\nconflict and the\nDRC–Rwanda\nconflict,https://en.wikipedia.org/wiki/M23_campaign_(2022%E2%80%93present),https://en.wikipedia.org/wiki/Kivu_conflict
2022,Ongoing,Russian partisan\nmovement,Russia,Russian opposition\nBOAK[59][60]\nStop the Wagons[61]\nBlack Bridge[62],,https://en.wikipedia.org/wiki/Russian_partisan_movement_(2022%E2%80%93present),https://en.wikipedia.org/wiki/Russian_partisan_movement_(2022%E2%80%93present)
,,,,National Republican\nArmy[63]\nFreedom of Russia\nLegion[64]\nRussian Volunteer\nCorps[64]\nNS/WP[65]\nArtpodgotovka[66]\nSilent Crow[67]\nAtesh[68]\nCyber Partisans[68]\nPeople's Resistance of\nUkraine[69]\nRebellious army\nconscripts[70]\nother rebel groups\nSeparatist movements\nNorth Caucasus\npartisans[71]\nCircassian\nnationalists[72]\nIngush\nIndependence\nCommittee\nIngush\nLiberation\nArmy[73]\nChechen\nmilitants\nOBON[74][75]\nAdat\nPeople's\nMovement[76]\nCommittee of\nBashkir\nResistance[h][77]\nSibir\nBattalion[78]\nKarelian\nNational\nMovement[79]\nNord[80]\nother separatist\nmovements,,,
2022,Ongoing,Western DR Congo\nclashes,Mobondo militia,Democratic Republic of\nthe Congo,,https://en.wikipedia.org/wiki/Western_DR_Congo_clashes,https://en.wikipedia.org/wiki/Western_DR_Congo_clashes
2022,2022,"al-Shabaab\ninvasion of Ethiopia\nPart of the\nEthiopian–Somali\nconflict, the Somali\nCivil War, Ethiopian\ncivil conflict and the\nspillover of the\nTigray war",Ethiopia\nSomali Region,Al-Qaeda\nAl-Shabaab,,https://en.wikipedia.org/wiki/Al-Shabaab_invasion_of_Ethiopia,https://en.wikipedia.org/wiki/Al-Shabaab_invasion_of_Ethiopia
2022,Ongoing,North Kosovo crisis,Kosovo\nAlbania\nDiplomatic support:,Serbia\nDiplomatic support:\nChina\nRussia,,https://en.wikipedia.org/wiki/North_Kosovo_crisis_(2022%E2%80%932025),
,,nan,nan,,,,
,,,NATO\nEuropean Union,Hungary[81]\nGreece\nCyprus\nMontenegro\nRepublika Srpska,,,
2022,2022,2022 Gaza–Israel\nclashes\n,Israel\nIsrael Defense\nForces\nIsraeli Air Force,Gaza Strip[82]\nPalestinian Islamic\nJihad[83][84],Israeli–\nPalestinian conflict,https://en.wikipedia.org/wiki/2022_Gaza%E2%80%93Israel_clashes,https://en.wikipedia.org/wiki/2022_Gaza%E2%80%93Israel_clashes
2022,2022,September 2022\nArmenia–Azerbaijan\nclashes\nPart of the\nArmenia–Azerbaijan\nborder crisis,Armenia,Azerbaijan,,https://en.wikipedia.org/wiki/September_2022_Armenia%E2%80%93Azerbaijan_clashes,https://en.wikipedia.org/wiki/September_2022_Armenia%E2%80%93Azerbaijan_clashes
2022,2022,2022 Kyrgyzstan–\nTajikistan clashes\n,Kyrgyzstan,Tajikistan\nAfghan mujahids[85] (per\nKyrgyzstan),post-\nSoviet conflicts,https://en.wikipedia.org/wiki/2022_Kyrgyzstan%E2%80%93Tajikistan_clashes,https://en.wikipedia.org/wiki/2022_Kyrgyzstan%E2%80%93Tajikistan_clashes
2023,Ongoing,Las Anod conflict\n,Somaliland,SSC-Khatumo\nSupported by:\nSomalia[86]\nHarti militiamen[87],Somali\nCivil War,https://en.wikipedia.org/wiki/Las_Anod_conflict_(2023),https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
2023,Ongoing,War in Amhara\nPart of the\nEthiopian civil\nconflict,Fano factions\nAmhara People's Army\nWollo Fano\nGojjam Fano\nGondar Fano\nShewa Fano,Ethiopia\nENDF\nAmhara Region\nGovernment,,https://en.wikipedia.org/wiki/War_in_Amhara,https://en.wikipedia.org/wiki/Ethiopian_civil_conflict_(2018%E2%80%93present)
2023,2023,2023 Afghanistan–\nIran clash,Afghanistan,Iran,,https://en.wikipedia.org/wiki/2023_Afghanistan%E2%80%93Iran_clash,https://en.wikipedia.org/wiki/2023_Afghanistan%E2%80%93Iran_clash
