Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
"c.
1194
BC","c. 1184
BC",Trojan War[41],Achaeans (mainly Mycenaens\nand Spartans),Troy,,https://en.wikipedia.org/wiki/Trojan_War,,2069046.0
"c.
1270
BC","c. 1269
BC",Ramesses II's Later Syrian\nCampaigns,New Kingdom of Egypt,Hittite Empire,,https://en.wikipedia.org/wiki/Ramesses_II#Later_Syrian_campaigns,https://en.wikipedia.org/wiki/Ramesses_II#Later_Syrian_campaigns,1746873.0
"c.
1276
BC","c. 1275
BC",Ramesses II's First Syrian\nCampaign[35],Egypt,Canaan\nAmurru kingdom,,https://en.wikipedia.org/wiki/Ramesses_II#First_Syrian_campaign,https://en.wikipedia.org/wiki/Ramesses_II#First_Syrian_campaign,1746873.0
"c.
1270
BC","c. 1270
BC",Ramesses II's Third Syrian\nCampaign,Egypt,Hittite Empire,,https://en.wikipedia.org/wiki/Ramesses_II#Third_Syrian_campaign,https://en.wikipedia.org/wiki/Ramesses_II#Third_Syrian_campaign,1746873.0
"c.
1274
BC","c. 1274
BC",Ramesses II's Second\nSyrian campaign[36][37],Hittite Empire,New Kingdom of Egypt,,https://en.wikipedia.org/wiki/Ramesses_II#Second_Syrian_campaign,https://en.wikipedia.org/wiki/Ramesses_II#Second_Syrian_campaign,1746873.0
"c.
1250
BC","c. 1250
BC",Ramesses II's Libyan\nCampaigns,Egypt,Libya,,https://en.wikipedia.org/wiki/Ramesses_II#Libyan_campaigns,https://en.wikipedia.org/wiki/Ramesses_II#Libyan_campaigns,1746873.0
"c.
1260
BC","c. 1260
BC",Ramesses II's Nubian\nCampaigns,Egypt,Nubia,,https://en.wikipedia.org/wiki/Ramesses_II#Nubian_campaigns,https://en.wikipedia.org/wiki/Ramesses_II#Nubian_campaigns,1746873.0
434 AD,453 AD,Hunnic invasion of\nEurope,Hunnic Empire,Eastern Roman Empire\nWestern Roman Empire\nFranks\nGoths\nBurgundians\nSaxons\nAlans\nMinor Germanic and Gallic\ntribes,,https://en.wikipedia.org/wiki/Huns#History,https://en.wikipedia.org/wiki/Huns#History,1528239.0
60 or 61 AD,60 or 61 AD,Boudica's Uprising,Roman Empire,"Iceni, Trinovantes, and\nother British tribes.",,https://en.wikipedia.org/wiki/Boudica#Uprising,,1511560.0
"c.
1732
BC","c. 1726
or 1720
BC",Assyrian Civil War,Troops of Adasi,Troops of Puzur-Sin\nTroops of Ashur-apla-\nidi\nTroops of Nasir-Sin\nTroops of Sin-namir\nTroops of Ipqi-Ishtar\nTroops of Adad-salulu\nAmorites\nBabylon,,https://en.wikipedia.org/wiki/Assyria#Assyrian_Adaside_dynasty.2C_1732.E2.80.931451_BC,,1127555.0
426 AD,426 AD,Conquest of Copán\nand Quiriguá,Teotihuacan,Copán\nQuiriguá,,https://en.wikipedia.org/wiki/Teotihuacan#Year_426:_Conquest_of_Cop%C3%A1n_and_Quirigu%C3%A1,https://en.wikipedia.org/wiki/Teotihuacan#Year_426:_Conquest_of_Cop%C3%A1n_and_Quirigu%C3%A1,1059278.0
431 BC,404 BC,Peloponnesian War,Peloponnesian League,Delian League,,https://en.wikipedia.org/wiki/Peloponnesian_War,,1037811.0
209 BC,206 BC,Fall of the Qin dynasty,Rebel forces of the six\nstates,Qin dynasty,,https://en.wikipedia.org/wiki/Qin_dynasty,,1024740.0
"c.
1206
BC","c. 1150
BC",Late Bronze Age collapse[39],Sea peoples,Hittites\nNew Kingdom of Egypt\nMycenaean Greece,,https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse,,936365.0
"Late 24th century
BC",,Formation of the Akkadian\nEmpire[25],Akkad\nKish (after being conquered),Kish (before being\nconquered)\nLagash\nUruk\nUmma\nUr\nKazallu,,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,924050.0
"Early 23rd century
BC",,Sargon's campaigns\nnortheast of the Akkadian\nEmpire,Akkad,Mari\nYarmuti\nEbla,,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,924050.0
9 AD,9 AD,Battle of the Teutoburg\nForest,Cherusci,Roman Empire,,https://en.wikipedia.org/wiki/Battle_of_the_Teutoburg_Forest,https://en.wikipedia.org/wiki/Battle_of_the_Teutoburg_Forest,836278.0
"c.
1595
BC","c. 1595
BC",Sack of Babylon,Hittite Empire,Babylon,,https://en.wikipedia.org/wiki/Babylonia#The_sack_of_Babylon_and_ancient_Near_East_chronology,,813370.0
"c.
1315
BC","c. 1315
BC",Arzawa Revolt[34],Arzawa\nAhhiyawa,Hittite Empire,,https://en.wikipedia.org/wiki/Mycenaean_Greece#Involvement_in_Asia_Minor,,792429.0
"c.
1260
BC","c. 1255
BC",Piyama-Radu Revolt[38],Piyama-Radu\nAhhiyawa,Hittite Empire,,https://en.wikipedia.org/wiki/Mycenaean_Greece#Involvement_in_Asia_Minor,,792429.0
966 AD,966 AD,Second Viking Raid in\nPortugal,Emirate of Córdoba,Vikings,,https://en.wikipedia.org/wiki/Viking_Age#Portugal,https://en.wikipedia.org/wiki/Viking_Age#Portugal,744293.0
844 AD,844 AD,Viking Raid in Portugal,Vikings,Emirate of Córdoba,,https://en.wikipedia.org/wiki/Viking_Age#Portugal,,744293.0
c. 795 AD,940 AD,Viking Invasion of\nFrancia,Vikings,Frankish Kingdom,,https://en.wikipedia.org/wiki/Viking_Age#France,https://en.wikipedia.org/wiki/Viking_Age#France,744293.0
839 AD,after 844 AD,Viking Raids in Spain,Kingdom of Asturias\nEmirate of Córdoba,Vikings,,https://en.wikipedia.org/wiki/Viking_Age#Spain,,744293.0
264 BC,146 BC,Punic Wars,Roman Republic,Carthage,,https://en.wikipedia.org/wiki/Punic_Wars,,735124.0
66 AD,73 AD,First Jewish–Roman\nWar,Roman Empire,Judean rebels: Sadducees\nand volunteers from\nAdiabene,,https://en.wikipedia.org/wiki/First_Jewish%E2%80%93Roman_War,https://en.wikipedia.org/wiki/First_Jewish%E2%80%93Roman_War,715081.0
270 AD,271 AD,Campaigns against\nGermanic tribes\n,Roman Empire,Vandals\nJuthungi\nSarmatians\nAlamanni\nGoths,Wars of\nEmperor Aurelian,https://en.wikipedia.org/wiki/Aurelian#Reunification_of_the_empire,https://en.wikipedia.org/wiki/Aurelian#Reunification_of_the_empire,690410.0
274 AD,274 AD,Conquest of the Gallic\nEmpire\n,Roman Empire,Gallic Empire,Wars of\nEmperor Aurelian,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Gallic_Empire,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Gallic_Empire,690410.0
270 AD,274 AD,Wars of Emperor\nAurelian,Roman Empire,Vandals\nJuthungi\nSarmatians\nAlamanni\nRebellious mint workers\nGoths\nPalmyrene Empire\nTroops of Firmus\nProvince of Egypt\nSassanid Empire\nGallic Empire,,https://en.wikipedia.org/wiki/Aurelian,,690410.0
272 AD,273 AD,Conquest of the\nPalmyrene Empire\n,Roman Empire,Palmyrene Empire\nTroops of Firmus\nProvince of Egypt\nSassanid Empire,Wars of\nEmperor Aurelian,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Palmyrene_Empire,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Palmyrene_Empire,690410.0
218 BC,201 BC,Second Punic War\n,Roman Republic,Carthage,Punic Wars,https://en.wikipedia.org/wiki/Second_Punic_War,,685122.0
132 AD,136 AD,Bar Kokhba revolt,Roman Empire,Jews of Iudaea under\nSimon Bar Kokhba,,https://en.wikipedia.org/wiki/Bar_Kokhba_revolt,,664467.0
715 AD,718 AD,Frankish Civil War,Charles Martel,Neustrian nobility,,https://en.wikipedia.org/wiki/Charles_Martel#Civil_war_of_715%E2%80%93718,,663938.0
622 AD,750 AD,Early Muslim\nconquests,First Islamic state\nRashidun Caliphate\nUmayyad Caliphate,Sasanian Empire\nByzantine Empire\nWestern Turkic Khaganate\nTang dynasty\nChach dynasty\nVisigothic Kingdom,,https://en.wikipedia.org/wiki/Early_Muslim_conquests,https://en.wikipedia.org/wiki/Early_Muslim_conquests,654887.0
540 BC,539 BC,Cyrus' Conquest of Elam\n,Achaemenid Empire,Elam,Wars of Cyrus\nthe Great,https://en.wikipedia.org/wiki/Elam#Neo-Elamite_III_(646%E2%80%93539_BC),,618613.0
"Early 23rd century
BC",,Sargon's invasion of Elam[26],Akkad,Elam\nSusa\nMarhasi,,https://en.wikipedia.org/wiki/Sargon_of_Akkad#Wars_in_the_northwest_and_east,,618050.0
