Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
,,,Victorious party (if applicable),Defeated party (if\napplicable),,,,
1000,1139,Norman conquest of southern\nItaly,County of Apulia\nCounty of Aversa\nKingdom of Sicily (1130–1139),Principality of Salerno\nPrincipality of\nBenevento\nPrincipality of Capua\nRepublic of Amalfi\nDuchy of Naples,,,,
1000,1000,Siege of Lastovo,Republic of Venice,Kingdom of Croatia\nNarentines,,https://en.wikipedia.org/wiki/Siege_of_Lastovo,,4495.0
1001,1001,Battle of Peshawar,Ghaznavids,Hindu Shahis,,https://en.wikipedia.org/wiki/Battle_of_Peshawar_(1001),,45651.0
1003,1003,Henry of Schweinfurt's\nRebellion,Henry II,Henry of Schweinfurt,,https://en.wikipedia.org/wiki/Henry_of_Schweinfurt,,18141.0
1003,1018,German–Polish War,Kingdom of Poland,Holy Roman Empire,,https://en.wikipedia.org/wiki/German%E2%80%93Polish_War_(1003%E2%80%931018),,18449.0
1007,1007,Battle of Chach,Ghaznavids,Hindu Shahis,,https://en.wikipedia.org/wiki/Battle_of_Chach,,26860.0
c. 1007,c. 1008,Battle at Herdaler,Kingdom of Norway,Finnish tribes,,https://en.wikipedia.org/wiki/Battle_at_Herdaler,,11898.0
1008,1008,Hungarian–Ahtum War,Kingdom of Hungary,Voivodeship of Ahtum,,https://en.wikipedia.org/wiki/Ajtony#In_modern_historiography,,10020.0
1009,1031,Fitna of al-Andalus,Hammudid dynasty\nRebels,Caliphate of Córdoba,,https://en.wikipedia.org/wiki/Fitna_of_al-Andalus,,45172.0
1010,1011,Second conflict in the\nGoryeo–Khitan War,Liao dynasty,Goryeo,,https://en.wikipedia.org/wiki/Second_conflict_in_the_Goryeo%E2%80%93Khitan_War,https://en.wikipedia.org/wiki/Second_conflict_in_the_Goryeo%E2%80%93Khitan_War,8587.0
1014,1014,Battle of Clontarf,High King of Ireland,Leinster\nDublin\nVikings of Orkney and\nMan,,https://en.wikipedia.org/wiki/Battle_of_Clontarf,,147987.0
1014,1204,Byzantine–Georgian wars,Byzantine Empire,Kingdom of Georgia,,https://en.wikipedia.org/wiki/Byzantine%E2%80%93Georgian_wars#Byzantine%E2%80%93Georgian_war_(1014%E2%80%931022),,29534.0
1015,1016,Cnut the Great's conquest of\nEngland,Denmark\nPoland,England,,https://en.wikipedia.org/wiki/Cnut#Conquest_of_England,https://en.wikipedia.org/wiki/Cnut#Conquest_of_England,1391988.0
1015,1016,Mujahid's invasion of Sardinia,Republic of Pisa\nRepublic of Genoa\nSardinian judicati,Taifa of Dénia,,https://en.wikipedia.org/wiki/Mujahid's_invasion_of_Sardinia,,14045.0
1016,1016,Battle of Pontlevoy,County of Anjou\nCounty of Maine,County of Blois,,https://en.wikipedia.org/wiki/Battle_of_Pontlevoy,,4132.0
1018,1018,Bolesław I's intervention in\nthe Kievan succession crisis,Kievan Rus' allied to Poland and\nHungary,Kievan Rus' allied to\nYaroslav I,,https://en.wikipedia.org/wiki/Boles%C5%82aw_I's_intervention_in_the_Kievan_succession_crisis,https://en.wikipedia.org/wiki/Boles%C5%82aw_I's_intervention_in_the_Kievan_succession_crisis,19065.0
1018,1018,Battle of Vlaardingen,West Frisia,Holy Roman Empire,,https://en.wikipedia.org/wiki/Battle_of_Vlaardingen,,9296.0
1018,1018,Battle of Carham,Kingdom of Scotland\nKingdom of Strathclyde,Kingdom of England,,https://en.wikipedia.org/wiki/Battle_of_Carham,,18970.0
1018,1019,Third conflict in the Goryeo–\nKhitan War,Goryeo,Liao dynasty,,https://en.wikipedia.org/wiki/Third_conflict_in_the_Goryeo%E2%80%93Khitan_War,https://en.wikipedia.org/wiki/Third_conflict_in_the_Goryeo%E2%80%93Khitan_War,8718.0
,,,,,,,,
1019,1019,Toi invasion,Goryeo\nDazaifu,Jurchen pirates,,https://en.wikipedia.org/wiki/Toi_invasion,,22254.0
1019,1021,Chola Expedition of the\nGanges,Chola Empire,Eastern Chalukyas\nPala Empire\nOdda\nKalinga,,https://en.wikipedia.org/wiki/Chola_Expedition_of_the_Ganges,https://en.wikipedia.org/wiki/Chola_Expedition_of_the_Ganges,15210.0
1025,1025,Chola invasion of Srivijaya,Chola Empire,Srivijaya,,https://en.wikipedia.org/wiki/Chola_invasion_of_Srivijaya,,69568.0
1030,1030,Battle of Azaz,Mirdasid Emirate of Aleppo,Byzantine Empire,,https://en.wikipedia.org/wiki/Battle_of_Azaz_(1030),,21947.0
1030,1030,Battle of Stiklestad,Peasant Army,Kingdom of Norway,,https://en.wikipedia.org/wiki/Battle_of_Stiklestad,,78913.0
1033,1058,Civil War in Georgia,Kingdom of Georgia,Byzantine Empire\nDuchy of Anakopia\nDuchy of Kldekari\nDuchy of Klarjeti,,https://en.wikipedia.org/wiki/Georgian_civil_war_of_1033%E2%80%931058,,963.0
1035,1042,Stefan Vojislav's Uprising,Duklja,Byzantine Empire,,https://en.wikipedia.org/wiki/Stefan_Vojislav,,22323.0
1040,1040,Battle of Dandanaqan,Seljuk Turks,Ghaznavid Empire,,https://en.wikipedia.org/wiki/Battle_of_Dandanaqan,,50931.0
1040,1041,Uprising of Peter Delyan,Byzantine Empire,Bulgarian rebels,,https://en.wikipedia.org/wiki/Uprising_of_Peter_Delyan,,6424.0
1040,1041,Bohemian-German war,Holy Roman Empire,Duchy of Bohemia,,https://en.wikipedia.org/wiki/Battle_at_Br%C5%AFdek,,5778.0
1040,1189,Byzantine–Norman wars,Byzantine Empire\nRepublic of Venice\nHoly Roman Empire,Kingdom of Sicily\nKingdom of France\nLombard duchies\nPapal States\nSerbs (Duklja and\nRaška),,https://en.wikipedia.org/wiki/Byzantine%E2%80%93Norman_wars,,45970.0
1043,1043,Rus'–Byzantine War,Byzantine Empire,Kievan Rus',,https://en.wikipedia.org/wiki/Rus'%E2%80%93Byzantine_War_(1043),,16565.0
