Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
,,,Victorious party (if applicable),Defeated party (if applicable),,,,
2004,2010,"Sinaloa Cartel–Gulf Cartel conflict
","Sinaloa cartel
Los Negros","Gulf cartel
Los Zetas","Mexican drug war (from 2006
to 2010)",,,
2004,Ongoing,South Thailand insurgency,"Thailand
Royal Thai Armed Forces (RTARF)
Royal Thai Police (RTP)
Anti-Money Laundering Office (AMLO)
Department of Provincial Administration
(DOPA)
Department of Special Investigation (DSI)
Internal Security Operations Command
(ISOC)
National Intelligence Agency (NIA)
Office of the Narcotics Control Board
(ONCB)
Southern Border Provinces Administrative
Centre (SBPA)
Supported by:
Malaysia
Indonesia
Qatar
Bahrain
Turkey
Germany
New Zealand (forensic science)
Australia (intelligence support)
Russia (intelligence support)
Canada (mine clearance)
United States ( CIA, EOD, K-9)","Barisan Revolusi Nasional
Runda Kumpulan Kecil
Gerakan Mujahidin Islam Patani
Islamic Front for the Liberation of Pattani
Pattani United Liberation
Organisation
Former support:
Free Aceh Movement (until 2005)
Mayaki cartel (financial support)
Jemaah Islamiyah (until 2024)
Islamic State
East Asia Province
Drug cartels
Mayaki cartel
Xaysana cartel
Usman cartel
Oil smugglers
Pirates",,https://en.wikipedia.org/wiki/South_Thailand_insurgency,,201686.0
2004,Ongoing,"Insurgency in Khyber Pakhtunkhwa
","Pakistan
Pakistan Armed Forces
Pakistan Army
Pakistan Air Force
Special Forces:
SSG
SSW
Civil Armed Forces
Frontier Corps
FC KPK North
FC KPK South
Pakistan Rangers
Pakistan Levies
Pakistan Police
Counter Terrorism Department
KPK Police
Frontier Constabulary
Dir Levies
Malakand Levies
Pakistani Intelligence community
NACTA
ISI
MI
FIA
United States (see Drone strikes in
Pakistan, until 2018)","Insurgents
Pakistani Taliban
Jamaat-ul-Ahrar[c]
TNSM[d]
Lashkar-e-Islam[e]
Tariq Gidar Group
Tehreek-e-Jihad Pakistan
Inqilab E Islami Pakistan (IIP)
Hafiz Gul Bahadur Group
Jaish-e-Fursan-e-Muhammad
Al-Qaeda
Al-Qaeda in the Indian
Subcontinent
Former belligerents
Jundallah (until 2014)
Islamic Movement of Uzbekistan
(until 2015)
Turkistan Islamic Party (until 2015)
Lashkar-e-Jhangvi (until 2024)
Sipah-e-Sahaba (until 2018)
Supported by:
Afghanistan
Islamic State
Islamic State – Pakistan Province
Khorasan Province
Jundallah
IMU
Jamaat-ul-Ahrar","war on terror and the
spillover of the War in Afghanistan
(2001–2021)",https://en.wikipedia.org/wiki/Insurgency_in_Khyber_Pakhtunkhwa,https://en.wikipedia.org/wiki/War_on_terror,370186.0
2004,Ongoing,"Iran–PJAK conflict
","Iran
Supported by:
Turkey (allegedly, denied by Iran)
United States (alleged by PJAK,
since 2009)","Kurdistan Free Life Party
(PJAK)
Eastern Kurdistan Units (YRK)
Women's Defence Forces (HPJ)",Kurdish separatism in Iran,https://en.wikipedia.org/wiki/Iran%E2%80%93PJAK_conflict,https://en.wikipedia.org/wiki/Kurdish_separatism_in_Iran,82916.0
2003,Ongoing,Conflict in the Niger Delta,"Nigerian government
Niger Delta Revolutionary Crusaders
(since 2019)
Nigerian Armed Forces
List
Abia State
Akwa Ibom State
Bayelsa State","Niger Delta Republic
Niger Delta Avengers
(2016–present)
Niger Delta Greenland Justice
Mandate
(2016–present)
Joint Niger Delta Liberation Force
(2016–present)",,https://en.wikipedia.org/wiki/Conflict_in_the_Niger_Delta,,89641.0
,,,"Cross River State
Delta State
Edo State
Imo State
Ondo State
Rivers State
supported by:
Belarus","Niger Delta Red Squad
(2016–present)
Adaka Boro Avengers
(2016–present)
Asawana Deadly Force of Niger
Delta
(2016–present)
Niger Delta Revolutionary Crusaders
(2016–present)
New Delta Avengers (2017–present)
Niger Delta Marine Force
(2017–present)
Reformed Egbesu Fraternities
Red Egbesu Water Lions
(2016–present)
Reformed Egbesu Boys of the Niger
Delta
(2016–present)
Egbesu Mightier Fraternity
(2016–present)
Biafran separatists (from
2021)
Movement for the Emancipation of
the Niger Delta
(2004–14)
Niger Delta People's Volunteer Force
(2003–09)
Niger Delta Liberation Front
(2005–14)
Joint Revolutionary Council
(2004–14)
Niger Delta Vigilante
(2004–09)
Supported by:
IPOB elements
Bandits
Pirates
Nigerian mafia
Black Axe
The Outlaws
Eiye",,,,
2004,Ongoing,"Kivu conflict
","Pro-government:
DR Congo
Wazalendo (March 2024–)
NDC-R
Burundi
MONUSCO
Angola
Zimbabwe
Botswana (against FNL and FNL–
Nzabampema)
Supported by:
France
Belgium
Bulgaria
Horațiu Potra's Mercenary Legion (until 31 Jan
2025)","Rwandan-aligned militias:
CNDP
M23
Banyamulenge
Twigwaneho
Gumino
Ugandan-aligned militias:
FPRI
FPLC
FPDC
Foreign state actors:
Uganda
Rwanda
Anti-Ugandan forces:
IS-CAP
ADF-Baluku
ADF-Mukulu
Mai-Mai Kyandenga
UPLC
Anti-Rwandan militias:
FDLR
RUD-Urunana
Other Hutu-aligned forces
Nyatura
Anti-Burundi militias:
RED-Tabara
FNL
Mai-Mai militias:
NDC-R (until March 2024)
FPP-AP
AFRC
RNL
Mazembe
Kifuafua
Simba","aftermath of the Second
Congo War",https://en.wikipedia.org/wiki/Kivu_conflict,https://en.wikipedia.org/wiki/Second_Congo_War,421321.0
,,,,"MAC
Raia Mutomboki
Buhirwa
Kidjangala
Fuliru Mai-Mai
Makanaki
Biloze Bishambuke
CNPSC
Alaise
CODECO (in Ituri)
Chini ya Kilima–FPIC (in Ituri)
Zaïre-FPAC (in Ituri)",,,,
2004,2014,"Houthi insurgency
","Houthi Movement
Yemen (pro-Saleh forces)
Alleged support by:
Iran
North Korea
Libya (until 2011)","Yemen
Security Forces
Sunni tribes
Al-Islah militias
Saudi Arabia
Supported by:
Jordan
Morocco
al-Qaeda
Ansar al-Sharia","Yemeni crisis and the Iran–
Saudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Houthi_insurgency,https://en.wikipedia.org/wiki/Yemeni_crisis_(2011%E2%80%93present),133649.0
