,Started,Ended,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026),Continent
0,,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",,,,,Undefined
1,2020.0,Ongoing,"Gang war in Haiti
Part of crime in Haiti
and the Haitian
crisis","Haitian security forces
Haitian National Police
Haitian Armed Forces
United States Armed
Forces
MSSMH
Kenya[1]
Jamaica[2]
Belize
Bahamas
Vatican City
Guatemala[3]
El Salvador[3]
Support:
United States[4]
[5]
Canada
France[6]
Spain
Germany
Mexico
Algeria","Viv Ansanm
G11
Delmas 6
Baz Pilate
Baz Krache Dife
Baz Nan Chabon
(Waf Jérémie)
Nan Boston
G-Pèp
400 Mawozo
Nan Brooklyn
Chen Mechan
Kraze Baryè
5 Segond
Gran Ravine
Taliban (Canaan)
Mariani
Ti Bwa
Nan Ti Bwa
Simon Pelé
Belekou
Other affiliated groups
Protesters, self-defense
groups, and other armed
factions
Bwa kale vigilantes
Brigade for the Security
of Protected Areas",,,,,Undefined
2,2020.0,2021,"2020–2021 China–
India skirmishes
",China,India,"Sino-
Indian border
dispute",https://en.wikipedia.org/wiki/2020%E2%80%932021_China%E2%80%93India_skirmishes,https://en.wikipedia.org/wiki/2020%E2%80%932021_China%E2%80%93India_skirmishes,599388.0,Asia
3,2020.0,Ongoing,"Belarusian partisan
movement",Belarus,"Belarusian opposition
Coordination Council
BYPOL
BELPOL",,https://en.wikipedia.org/wiki/Belarusian_partisan_movement_(2020%E2%80%93present),https://en.wikipedia.org/wiki/Belarusian_partisan_movement_(2020%E2%80%93present),65223.0,Undefined
4,2020.0,Ongoing,"Western Togoland
Rebellion","Ghana
Ghana Armed Forces
Minister for Defence","Western Togoland
Western Togoland
Restoration Front",,https://en.wikipedia.org/wiki/Western_Togoland_Rebellion,https://en.wikipedia.org/wiki/Western_Togoland_Rebellion,29554.0,Africa
5,2020.0,2020,"Second Nagorno-
Karabakh War
Part of the
Nagorno-Karabakh
conflict","Azerbaijan
Turkey (alleged by
Armenia)[7]
Syrian
mercenaries[a][10]","Artsakh
Armenia",,https://en.wikipedia.org/wiki/Second_Nagorno-Karabakh_War,https://en.wikipedia.org/wiki/Second_Nagorno-Karabakh_War,524666.0,Asia
6,2020.0,2024,"Afar–Somali
clashes",Somali Region,Afar Region,,https://en.wikipedia.org/wiki/Afar%E2%80%93Somali_clashes,https://en.wikipedia.org/wiki/Afar%E2%80%93Somali_clashes,22276.0,Africa
7,2020.0,2022,"Tigray war
Part of the
Ethiopian civil
conflict","Tigray
OLA (2021–22)[11]","Ethiopia[12]
Eritrea[13]",,https://en.wikipedia.org/wiki/Tigray_war,https://en.wikipedia.org/wiki/Ethiopian_civil_conflict_(2018%E2%80%93present),374542.0,Undefined
8,2020.0,Ongoing,"Western Saharan
clashes",Kingdom of Morocco,"Sahrawi Arab
Democratic Republic",,https://en.wikipedia.org/wiki/Western_Saharan_clashes_(2020%E2%80%93present),https://en.wikipedia.org/wiki/Western_Saharan_clashes_(2020%E2%80%93present),69886.0,Africa
9,,,,,,"Western
Sahara conflict",https://en.wikipedia.org/wiki/Western_Sahara_conflict,https://en.wikipedia.org/wiki/Western_Sahara_conflict,268685.0,Africa
10,2020.0,2022,"Al-Fashaga conflict
",Sudan,"Amhara militias
Alleged:
Ethiopia
Eritrea[14]","Spillover
of the Tigray war",https://en.wikipedia.org/wiki/Al-Fashaga_conflict,https://en.wikipedia.org/wiki/Spillover_of_the_Tigray_war,29737.0,Africa
11,2021.0,Ongoing,"Insurgency in
Southeastern
Nigeria
","Biafran separatists
Oduduwa separatists
(only against Fulani
herders)","Nigeria
Spillover into Bakassi:
Cameroon","herder–
farmer conflicts in
Nigeria and the
conflict in the Niger
Delta",https://en.wikipedia.org/wiki/Insurgency_in_Southeastern_Nigeria,https://en.wikipedia.org/wiki/Insurgency_in_Southeastern_Nigeria,59415.0,Africa
12,2021.0,2021,"2021 Kyrgyzstan–
Tajikistan clashes
",Kyrgyzstan,Tajikistan,"post-
Soviet conflicts",https://en.wikipedia.org/wiki/2021_Kyrgyzstan%E2%80%93Tajikistan_clashes,https://en.wikipedia.org/wiki/2021_Kyrgyzstan%E2%80%93Tajikistan_clashes,33816.0,Asia
