Start,Finish,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
,,,Victorious,Defeated,,,,
c. 3400–3100 BC,,Enmerkar's campaigns\nagainst Aratta*,Uruk under Enmerkar,Aratta,,,,
c. 3250 BC,,Unification of Upper\nEgypt*[3],Thinite Confederacy under\nScorpion I,"Rival city-states of\nUpper Egypt, incl.\nTaurus (Bull)",,https://en.wikipedia.org/wiki/Upper_Egypt,https://en.wikipedia.org/wiki/Upper_Egypt,209349.0
c. 3200 BC,,Naqada III northern\nexpansion,Naqada III,Maadi-Buto culture,,https://en.wikipedia.org/wiki/Naqada_III#Northern_expansion,https://en.wikipedia.org/wiki/Naqada_III#Northern_expansion,142107.0
c. 3100 BC,,Upper Egypt annexation of\nLower Egypt*[4],Upper Egypt under Narmer,Lower Egypt under\nWash,,https://en.wikipedia.org/wiki/Upper_Egypt,https://en.wikipedia.org/wiki/Lower_Egypt,209349.0
c. 3100 BC,,Burning of Arslantepe[5],Kura–Araxes,Arslantepe,,https://en.wikipedia.org/wiki/Arslantepe,,34663.0
c. 3100 BC,,Hor-Aha's Nubia\nCampaign*[6],Egypt,Nubia,,https://en.wikipedia.org/wiki/Hor-Aha#Activities_outside_Egypt,https://en.wikipedia.org/wiki/Hor-Aha#Activities_outside_Egypt,103312.0
c. 3000 BC,,Djer's campaigns into\nSinai[7],Egypt,Setjet,,https://en.wikipedia.org/wiki/Djer,https://en.wikipedia.org/wiki/Djer,96921.0
c. 3000 BC,,Djer's campaigns into\nLibya[8],Egypt,Tjehenu,,https://en.wikipedia.org/wiki/Djer,https://en.wikipedia.org/wiki/Djer,96921.0
c. 2970 BC,,Den's Eastern Campaign[9],Egypt,Setjet,,https://en.wikipedia.org/wiki/Den_(pharaoh),,70414.0
c. 2900 BC,,Civil war between Horus Bird\nand Sneferka[10][11][12],Reconciliation under Hotepsekhemwy,,,https://en.wikipedia.org/wiki/Horus_Bird_(pharaoh),https://en.wikipedia.org/wiki/Sneferka,11272.0
"c. 2900 BC – 2700
BC",,Kish-Elam War*[13],Kish under Enmebaragesi,Elam,,https://en.wikipedia.org/wiki/Kish_(Sumer)#History,,139823.0
c. 2760-2740 BC,,Second Dynasty Civil War,Khasekhemwy,Lower Egypt,,https://en.wikipedia.org/wiki/Second_Dynasty_of_Egypt,,133572.0
c. 2600 BC,,Aga's Siege of Uruk[14],Uruk under Gilgamesh,Kish under Aga,,https://en.wikipedia.org/wiki/Siege_of_Uruk,,4941.0
c. 2600 BC,,Campaigns of Sneferu[15][16],Egypt,Nubia\nLibya\nLevant,,https://en.wikipedia.org/wiki/Sneferu#Foreign_relations,,180653.0
c. 2500 BC,,Campaigns of Ur-Nanshe[17],Lagash,Ur\nUmma,,https://en.wikipedia.org/wiki/Ur-Nanshe,,22129.0
c. 2450 BC,,Campaigns of Eannatum[18],Lagash,Ur\nUruk\nLarsa\nNippur\nAkshak\nUmma and others,,https://en.wikipedia.org/wiki/Eannatum,,55921.0
c. 2440 BC,,Campaigns of\nEnshakushanna,Uruk,Hamazi\nAkkad\nKish\nNippur,,https://en.wikipedia.org/wiki/Enshakushanna,https://en.wikipedia.org/wiki/Enshakushanna,15399.0
"c.
2423
BC","c. 2300
BC",Mari-Ebla War,Mari,Ebla\nNagar\nEmar\nKish\nArmi,,"https://en.wikipedia.org/wiki/Mari,_Syria",,172895.0
c. 2400 BC,,Umma's first war of\nindependence*[19],Lagash under Enannatum I,Umma under Ur-\nLumma,,https://en.wikipedia.org/wiki/En-anna-tum_I,https://en.wikipedia.org/wiki/En-anna-tum_I,3097.0
,,,,,,,,
c. 2365 BC,,Lugal-Anne-Mundu's\ncampaign on Ur[20][21],Adab,Ur,,https://en.wikipedia.org/wiki/Lugal-Anne-Mundu,https://en.wikipedia.org/wiki/Lugal-Anne-Mundu,12791.0
"c.
2400
BC","c. 2400
BC",Umma's second war of\nindependence[22],Lagash\nUruk,Umma,,https://en.wikipedia.org/wiki/Entemena,https://en.wikipedia.org/wiki/Entemena,29334.0
"c.
2350
BC","c. 2350
BC",Campaigns of Lugal-zage-\nsi[23][24],Umma,Kish\nLagash\nUr\nNippur\nLarsa\nUruk,,https://en.wikipedia.org/wiki/Lugal-zage-si,https://en.wikipedia.org/wiki/Lugal-zage-si,52687.0
"Late 24th century
BC",,Formation of the Akkadian\nEmpire[25],Akkad\nKish (after being conquered),Kish (before being\nconquered)\nLagash\nUruk\nUmma\nUr\nKazallu,,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,924050.0
"Early 23rd century
BC",,Sargon's campaigns\nnortheast of the Akkadian\nEmpire,Akkad,Mari\nYarmuti\nEbla,,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,https://en.wikipedia.org/wiki/Akkadian_Empire#Sargon_of_Akkad,924050.0
"Early 23rd century
BC",,Sargon's invasion of Elam[26],Akkad,Elam\nSusa\nMarhasi,,https://en.wikipedia.org/wiki/Sargon_of_Akkad#Wars_in_the_northwest_and_east,,618050.0
"c.
2230
BC","c. 2230
BC",Naram-Sin's campaign on\nthe Lullubi,Akkad,Lullubi,,https://en.wikipedia.org/wiki/Naram-Sin_of_Akkad#Victory_stele_of_Naram-Sin,https://en.wikipedia.org/wiki/Naram-Sin_of_Akkad#Victory_stele_of_Naram-Sin,207368.0
"c.
2220
BC","c. 2150
BC",Gutian raids and conquests\nin the Akkadian Empire,Gutium,Akkad,,https://en.wikipedia.org/wiki/Gutian_people#History,https://en.wikipedia.org/wiki/Gutian_people#History,59987.0
"c.
2100
BC","c. 2100
BC",Gutian conquest of Elam[27],Gutium,Elam,,https://en.wikipedia.org/wiki/Gutian_people,,59987.0
"c.
2119
BC","c. 2119
BC",Fall of the Gutian dynasty,Uruk,Gutium,,https://en.wikipedia.org/wiki/Gutian_dynasty_of_Sumer#History,,69472.0
"c.
2112
BC","c. 2112
BC",Ur-Nammu's conquest of\nLagash,Ur,Lagash,,https://en.wikipedia.org/wiki/Ur-Nammu,https://en.wikipedia.org/wiki/Ur-Nammu,107433.0
"c.
2004
BC","c. 2004
BC",Fall of the Neo-Sumerian\nEmpire,Elam\nSusa,Ur,,https://en.wikipedia.org/wiki/Third_Dynasty_of_Ur#History,https://en.wikipedia.org/wiki/Third_Dynasty_of_Ur#History,262999.0
