Start,Finish,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1861,1865,American Civil War,United States of America,"Confederate States of
America",,https://en.wikipedia.org/wiki/American_Civil_War,,6247339.0
1812,1815,War of 1812,"British Empire
United States
United States","British Empire
United States
United States",,https://en.wikipedia.org/wiki/War_of_1812,,2853149.0
1853,1856,Crimean War,"Ottoman Empire
French Empire
(from 1854)
Britain
(from 1854)
Kingdom of Sardinia
(from 1855)
Caucasian Imamate (until 1855)
Circassia
Abkhazian insurgents (from
1855)
Egypt Eyalet
Beylik of Tunis[11]","Russian Empire
Bulgarian volunteers
Principality of Mingrelia
(vassal)
Kurdish rebels[12]
Kingdom of Greece (until
1854)",,https://en.wikipedia.org/wiki/Crimean_War,,2187458.0
1899,1902,Second Boer War,"British Empire
Cape Colony
Natal Colony
British India
Australia
Canada
New Zealand","Orange Free State
South African
Republic
Foreign volunteers",,https://en.wikipedia.org/wiki/Second_Boer_War,,1989012.0
1846,1848,Mexican–American War,United States,Mexico,,https://en.wikipedia.org/wiki/Mexican%E2%80%93American_War,,1960266.0
1803,1815,Napoleonic Wars,"Coalition forces:
Austria[α][a][b]
Prussia[β]
Russia[γ][c]
United Kingdom
Baden
Bavaria[δ]
Brunswick[ε]
French royalists
Hanover[d]
Hungary[ζ][e]
Liechtenstein
Montenegro[η]
Nassau[ε]
Netherlands[ε]
Ottoman Empire[θ][f]
Papal States
Persia[θ][g]
Portugal[ι]","France and allies:
French Republic (until
1804)
French Empire (from 1804)
French clients:
Bonapartist Spain[i]
Confederation of the
Rhine[ξ][k][l]
Duchy of Warsaw[m]
Etruria[n]
Holland[o]
Italy
Lucca-Piombino
Naples[p]
Polish Legions[m]
Switzerland
Austria[a][q][ο]
Denmark–Norway[r][π]",,https://en.wikipedia.org/wiki/Napoleonic_Wars,,1954549.0
1898,1898,Spanish–American War,"United States
Cuba
First Philippine
Republic
Katipunan",Kingdom of Spain,,https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War,,1773813.0
1857,1858,"Indian Rebellion of
1857
India's First War of
Independence","British Empire
British East India
Company
Nepal
Jammu and Kashmir
20 Princely states","Sepoys of the East India
Company
Mughal Empire
Awadh
Jhansi
Jagdishpur
Kohra
Bijairaghogarh
Tulsipur State
7 Princely states",,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,1745535.0
1899,1901,Boxer Rebellion,"Eight-Nation Alliance
Empire of Japan
Russian Empire
British Empire
France
United States
German Empire
Kingdom of Italy
Austria-Hungary","Righteous Harmony
Society
China",,https://en.wikipedia.org/wiki/Boxer_Rebellion,,1567198.0
1850,1864,Taiping Rebellion,"China
British Empire
French Empire",Taiping Heavenly Kingdom,,https://en.wikipedia.org/wiki/Taiping_Rebellion,,1443192.0
