Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,,
1800,1865,Temne War[1],"British Empire
Susu Tribes",Kingdom of Koya,,,,
1801,1805,Tripolitan War,"United States
Sweden (until 1802)
Sicily","Tripolitania
Morocco (1802)",,https://en.wikipedia.org/wiki/First_Barbary_War,,484282.0
1801,1801,"War of the Oranges
","France
Spain",Portugal,"War of the
Second Coalition",https://en.wikipedia.org/wiki/War_of_the_Oranges,https://en.wikipedia.org/wiki/War_of_the_Second_Coalition,45614.0
1802,1804,"Fourth quarter of the
Haitian Revolution",Haiti,France,,https://en.wikipedia.org/wiki/Haitian_Revolution,https://en.wikipedia.org/wiki/Haitian_Revolution,941954.0
1802,1802,Sack of Karbala,Diriyah,Ottoman Empire,,https://en.wikipedia.org/wiki/Wahhabi_sack_of_Karbala,,98266.0
1802,1802,Stecklikrieg,Helvetic Republic,Federalist rebels,,https://en.wikipedia.org/wiki/Stecklikrieg,,15476.0
1802,1810,Tedbury's War,British Empire,Australian Aborigines,,https://en.wikipedia.org/wiki/Tedbury,,13282.0
1803,1803,Souliote War,Ottoman Empire,Souliotes,,https://en.wikipedia.org/wiki/Souliote_War_(1803),,13756.0
1803,1803,Irish Rebellion of 1803,British Empire,Society of United Irishmen,,https://en.wikipedia.org/wiki/Irish_Rebellion_of_1803,,17446.0
1803,1805,"Second Anglo-Maratha
War",British East India Company,Maratha Empire,,https://en.wikipedia.org/wiki/Second_Anglo-Maratha_War,https://en.wikipedia.org/wiki/Second_Anglo-Maratha_War,177785.0
1803,1805,"Burmese–Siamese
War (1803–05)",Konbaung dynasty,Siam,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_wars#During_the_Empires_/_Dynasties_of_Konbaung_(Burma)%E2%80%93Rattanakosin_(Siam),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_wars#During_the_Empires_/_Dynasties_of_Konbaung_(Burma)%E2%80%93Rattanakosin_(Siam),-1.0
1803,1805,First Kandyan War,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/First_Kandyan_War,,1870.0
1803,1815,Napoleonic Wars,"Coalition forces:
Austria[α][a][b]
Prussia[β]
Russia[γ][c]
United Kingdom
Baden
Bavaria[δ]
Brunswick[ε]
French royalists
Hanover[d]
Hungary[ζ][e]
Liechtenstein
Montenegro[η]
Nassau[ε]
Netherlands[ε]
Ottoman Empire[θ][f]
Papal States
Persia[θ][g]
Portugal[ι]","France and allies:
French Republic (until
1804)
French Empire (from 1804)
French clients:
Bonapartist Spain[i]
Confederation of the
Rhine[ξ][k][l]
Duchy of Warsaw[m]
Etruria[n]
Holland[o]
Italy
Lucca-Piombino
Naples[p]
Polish Legions[m]
Switzerland
Austria[a][q][ο]
Denmark–Norway[r][π]",,https://en.wikipedia.org/wiki/Napoleonic_Wars,,1954549.0
