Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",,,
1900,1905,"1900–1905 phase of the
Mat Salleh Rebellion","British Empire
North Borneo",Rebels,,,
1900,1920,Somaliland campaign,"British Empire
Ethiopian Empire
Italian Empire",Dervish State,,https://en.wikipedia.org/wiki/Somaliland_campaign,
1900,1900,War of the Golden Stool,British Empire,Ashanti Empire,,https://en.wikipedia.org/wiki/War_of_the_Golden_Stool,
1900,1905,Zande resistance[2],"British Empire
Anglo-Egyptian
Sudan","Sultan Yam-bio's rebel
forces",,https://en.wikipedia.org/wiki/Zande_resistance?action=edit&redlink=1,
1900,1902,"Muhammad Umar Khan's
rebellion[3]","British Empire
State of Makran","Forces loyal to
Muhammad Umar Khan",,https://en.wikipedia.org/wiki/Muhammad_Umar_Khan's_rebellion?action=edit&redlink=1,https://en.wikipedia.org/wiki/Muhammad_Umar_Khan's_rebellion?action=edit&redlink=1
1900,1900,1900 Hamawand revolt[4],Ottoman Empire,"Hamawand rebels
Supported by:
Sheikhs of
Sulaymaniyah and
Qaradāgh",,https://en.wikipedia.org/wiki/1900_Hamawand_revolt?action=edit&redlink=1,
1900,1900,1900 Sudan revolt[5],"British Empire
Anglo-Egyptian
Sudan",Sudanese rebels,,https://en.wikipedia.org/wiki/1900_Sudan_revolt?action=edit&redlink=1,
1900,1900,"French conquest of
Borno[5]",France,Borno,,https://en.wikipedia.org/wiki/Battle_of_Kouss%C3%A9ri,https://en.wikipedia.org/wiki/Battle_of_Kouss%C3%A9ri
1900,1907,Unrest in Java[6],Dutch Empire,"Peasant rebels
Lone-wolf robbers and
arsonists",,https://en.wikipedia.org/wiki/Unrest_in_Java?action=edit&redlink=1,
1900,1903,"1900–1903 uprising in
southwest Madagascar[7]",France,Rebels,,https://en.wikipedia.org/wiki/1900%E2%80%931903_uprising_in_southwest_Madagascar?action=edit&redlink=1,https://en.wikipedia.org/wiki/1900%E2%80%931903_uprising_in_southwest_Madagascar?action=edit&redlink=1
1900,1900,Shoubak revolt of 1900,Ottoman Empire,Shoubakis,,https://en.wikipedia.org/wiki/Shoubak_revolts#Shoubak_revolt_of_1900,
