Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,
1944,1963,"Polish anti-communist
resistance insurgency","Polish Committee of
National Liberation (until
1945)
Polish People's
Republic (from 1945)
MO
ORMO
ZOMO
SB
NKVD
Supported by:
Soviet Union","Polish anti-communist
resistance movements
(""Unbroken Soldiers"")
Home Army
National Armed Forces
Freedom and Independence
Association
...and other various organized and
un-organized groups",,,
1944,1962,"Romanian anti-communist
resistance movement
Part of World War II, the
Cold War and anti-
communist insurgencies in
Central and Eastern
Europe","Kingdom of
Romania (until 1947)
Romanian
People's Republic
(from 1947)
PCR
Securitate
Supported by:
Soviet Union","Anti-communist groups
Nationalists
Monarchists
National Peasantists
Iron Guards
Supported by:
United States
United Kingdom
CNR",,https://en.wikipedia.org/wiki/Romanian_anti-communist_resistance_movement,https://en.wikipedia.org/wiki/Romanian_anti-communist_resistance_movement
1945,1949,1945 Khuzestan revolt[1],Iran,Khuzestan rebels,,https://en.wikipedia.org/wiki/1945_Khuzestan_revolt?action=edit&redlink=1,
1945,1945,Conquest of al-Ghurfa,"British Empire
Aden Protectorate",Al-Ghurfa,,https://en.wikipedia.org/wiki/Al-Ghurfa_(1918%E2%80%931945),
1945,1950,Crusader insurgency,Yugoslavia,Crusaders,,https://en.wikipedia.org/wiki/Crusaders_(guerrilla),
1945,1949,"Chinese Civil War
(second phase)
","1945–1949
Yan'an Soviet
People's
Republic of China
(1949)
Chinese
Communist
Party
People's
Liberation Army","1945–1949
Republic of China
Kuomintang
Republic of China
Armed Forces","Chinese
Communist Revolution
and the Cold War",https://en.wikipedia.org/wiki/Chinese_Civil_War,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution
1945,1945,"August Revolution
","Việt Minh
National Liberation
Committee of Vietnam
(from 16 to 25 August)
Provisional
Revolutionary
Government of
Democratic Republic of
Vietnam (from 28
August)
Vanguard Youth
(from 22 August)
Supported by:
United States –
Bình Xuyên
Hòa Hảo
Cao Đài
Trotskyist","Empire of Vietnam
National Unified Front
Vanguard Youth (until 22
August)
Supported by:
Japan","Civil War in
Vietnam (1945-49),
French Indochina in
World War II, the
South-East Asian
theatre of World War
II, the Pacific Theater
of World War II, and
the Decolonisation of
Asia",https://en.wikipedia.org/wiki/August_Revolution,https://en.wikipedia.org/wiki/Civil_conflicts_in_Vietnam_(1945%E2%80%931949)
,,,"Vietnam Revolutionary
League
Vietnamese
Provisional National
Government
Việt Quốc
Đại Việt
Nationalist",,,,
1945,1949,"Indonesian National
Revolution
","Indonesia
PDRI[a]
TNI
POLRI
Japanese holdouts
British Indian
volunteers[b][2]","Netherlands[c]
Dutch East Indies
KNIL
NICA
Pao An Tui[d]
United Kingdom[e]
British Raj[e]
Japan[e]
DI/TII (from 1949)
FDR
Small guerrilla groups","aftermath of
World War II and the
decolonisation of Asia",https://en.wikipedia.org/wiki/Indonesian_National_Revolution,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
1948,Ongoing,"Korean conflict
",South Korea,North Korea,"Cold War in
Asia (until 1991)",https://en.wikipedia.org/wiki/Korean_conflict,https://en.wikipedia.org/wiki/Cold_War
1945,1946,"War in Vietnam
(1945–46)
","British Empire
United Kingdom
India
France
Japan","Southern Resistance
Committee of Viet Minh
Vanguard Youth
National Guard
Southern Provisional
Administrative Committee
Vietnam People's Army
Pro-Viet Minh Bình Xuyên
Hòa Hảo
Cao Đài
Anti-communist Bình Xuyên
Việt Nam Quốc Dân Đảng","aftermath
of World War II and
the Indochina Wars",https://en.wikipedia.org/wiki/War_in_Vietnam_(1945%E2%80%931946),https://en.wikipedia.org/wiki/War_in_Vietnam_(1945%E2%80%931946)
1945,1946,"1945 Hazara
Rebellion",Hazara rebels,Kingdom of Afghanistan,,https://en.wikipedia.org/wiki/1945_Hazara_Rebellion,https://en.wikipedia.org/wiki/1945_Hazara_Rebellion
1945,1946,"Iran crisis of 1946
","Iran
Supported by:
United Kingdom
United States","Azerbaijan People's
Government
Republic of Mahabad
Tudeh Military Network[3]
Supported by:
Soviet Union","aftermath
of the Second World
War, prelude to the
Cold War and Kurdish
separatism in Iran",https://en.wikipedia.org/wiki/Iran_crisis_of_1946,https://en.wikipedia.org/wiki/Aftermath_of_the_Second_World_War
1946,1949,"Greek Civil War
","Kingdom of
Greece
Hellenic Army
Royal Hellenic Air
Force (minor participation)","Provisional Democratic
Government (from 1947)
Democratic Army (from
December 1946)
Communist Party of Greece
and allies","Cold War
(from 1947)",https://en.wikipedia.org/wiki/Greek_Civil_War,https://en.wikipedia.org/wiki/Cold_War
,,,"Royal Hellenic
Navy (limited participation
in support)
Royal Gendarmerie
MAY (1946–1948)
TEA (1948–1949)
Supported by:
United Kingdom
(1944–1947)
United States
(1946–1949)","Ex-EAM members and
other communist guerrillas'
local groups (March 1946 –
December 1946)
People's Civil Guard
Supported by:
Yugoslavia (1946–1948)
Bulgaria
Albania
Soviet Union (limited)",,,
1946,1954,"Hukbalahap Rebellion
","Philippines
Supported by:
United States",Philippine Communist Party,Cold War,https://en.wikipedia.org/wiki/Hukbalahap_Rebellion,https://en.wikipedia.org/wiki/Cold_War
1946,1946,Autumn Uprising of 1946,"United States
Army Military
Government in Korea
Right-wing groups:
Korean National Youth
Association
Northwest Youth
League","Communist Party of Korea
National Council of Korean
Labour Unions",,https://en.wikipedia.org/wiki/Autumn_Uprising_of_1946,
1946,1946,"Corfu Channel incident
",Albania,United Kingdom,Cold War,https://en.wikipedia.org/wiki/Corfu_Channel_incident,https://en.wikipedia.org/wiki/Cold_War
1946,1946,Punnapra-Vayalar uprising,"Kingdom of
Travanore","Laborers in Punnapra and
Vayalar
Communist Party of India",,https://en.wikipedia.org/wiki/Punnapra-Vayalar_uprising,
