Started,Ended,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,
1990,Ongoing,"DHKP/C insurgency in
Turkey","Government of
Turkey
Turkish Armed Forces
Turkish Land
Forces
Turkish Air Force
Turkish Naval
Forces
Turkish Gendarmerie
JİTEM
Special Forces
Command
General Directorate of
Security
Riot Police
Police Special
Operation
Department
Ministry of Foreign
Affairs
National Defense
Ministry of the Interior","DHKP/C[1]
TKP/ML[1]
MLKP
Communist Party of Turkey
(Workers Voice)
Supported by:
Syria (Until 2024)[2]",,,
1990,1995,"Eelam War II Part of
the Sri Lankan Civil
War",Sri Lanka,"Liberation Tigers of Tamil
Eelam",,,
1990,1991,"Gulf War
","United States
United Kingdom
France
Saudi Arabia
Egypt
Kuwait
Coalition:
Afghan mujahideen[3]
Argentina
Australia
Bahrain
Bangladesh
Belgium
Canada
Czechoslovakia
Denmark
Germany
Greece
Honduras
Hungary
Italy
Japan
Luxembourg
Morocco
Netherlands
New Zealand
Niger
Norway
Oman
Pakistan
Philippines
Poland
Portugal
Qatar
Romania
Senegal
Sierra Leone
Singapore
South Korea
Spain",Iraq,"Arab Cold
War",,
,,,"Sweden
Syria
Turkey
United Arab Emirates",,,,
1990,1994,Rwandan Civil War,"Rwandan Patriotic
Front (RPF)","Rwanda
Zaire (1990)
France",,,
1990,1990,"1990 Mindanao crisis
",Philippines,"Federal Republic of
Mindanao","1986–90
Philippine coup
attempts",,
1990,1992,"Transnistria War
","Transnistria
Russia[4][5]
Supported by:
Ukraine[6]","/ Moldova[a]
Supported by:
Romania","dissolution
of the Soviet Union
and the Transnistria
conflict",,
1990,1995,"Tuareg rebellion
(1990–1995)
","Niger
Mali
Ganda Koy","Mali:
Arab Islamic Front of Azawad
(FIAA),
Popular Movement for the
Liberation of Azawad (MPLA),
United Movements and Fronts
of Azawad (MFUA).
Niger:
Front for the Liberation of Aïr
and Azaouak (FLAA),
Front for the Liberation of
Tamoust, (FLT),
CRA & ORA coalitions (1994–
95)","Tuareg
rebellions",,
1991,1992,"1991–1992 South
Ossetia War
","South Ossetia
Russia[7]
(1992)",Georgia,"Georgian–
Ossetian conflict,
Georgian Civil War,
and Dissolution of the
Soviet Union",,
"1981/1988/1991
(disputed)",Ongoing,"Somali Civil War
","1980s–1991:
Somali Democratic
Republic
SNA (until 1991)
Supported by:
Djibouti[8][9]
Italy[10]
Libya[11][12]
Saudi Arabia[11]
South Africa[12]
United
States[13][14][11]
1991–1995:
United Nations
UNOSOM I
Australia
Austria
Belgium
Botswana
Canada
Czechia
Egypt
Fiji
Finland
Indonesia
Jordan","1980s–1991:
Armed rebel groups
USC
SSDF
SPM
Supported by:
Ethiopia[40][41]
1980s–1991:
Somali National Movement
Supported by:
Ethiopia[42][43]
1991–1995:
USC
SNA
Al-Itihaad
1995–2006:
SRRC
SNA
SPM-Harti
Islamic Courts Union","Conflicts in the
Horn of Africa, The
Ethiopian-Somali conflict,
War against the Islamic
State, Operation Enduring
Freedom – Horn of Africa,
and Global War on
Terrorism",,
,,,"Morocco
New Zealand
Norway
Pakistan
Zimbabwe
UNITAF
Australia
Bangladesh
Belgium
Botswana
Canada
Egypt
Ethiopia
France
Germany
Greece
India
Indonesia
Italy
Kuwait
Malaysia
Morocco
New Zealand
Nigeria
Norway
Pakistan
Saudi Arabia
Spain
Tunisia
Turkey
UAE
United Kingdom
United States
Zimbabwe
UNOSOM II
Algeria
Australia[15]
Austria[16]
Bangladesh[17]
Belgium[18]
Botswana
Canada
Denmark
Egypt
Fiji
Finland
France[19]
Germany[20]
Greece
India
Indonesia
Ireland
Italy
Jordan
Kuwait
Malaysia
Morocco
Nepal
New Zealand
Nigeria
Norway
Pakistan
Philippines
Romania
Saudi Arabia
South Korea
Spain
Sweden
Switzerland
Tunisia
Turkey
United Arab
Emirates
United Kingdom","1995–2006:
Somaliland
2006–2009:
Invasion:
Islamic Courts Union
Supported by:
Eritrea
ONLF[44][45]
Insurgency:
Al-Shabaab
ICU loyalists
Hizbul Islam
Ras Kamboni Brigades
Jabhatul Islamiya
Muaskar Anole
ARS
2006–2009:
Somaliland
2009–present:
Al-Qaeda and allies
Al-Shabaab
AQAP
AQIM
Hizbul Islam (until 2010;
2012–2013)
Alleged state allies:
Eritrea[46]
Iran[47]
Quds Force[48]
Qatar[49]
Alleged non-state allies:
Houthis[50][51]
Somali pirates[52]
Islamic State (since 2015)[53][54]
Somalia Wilayah
Allies
IS-YP[55]
Somali pirates[52]
2009–present:
Somaliland
Somaliland Armed Forces
SSB[56][57]
Alleged support:
Ethiopia[58]
UAE[59]
United Kingdom
Yemen
European Union",,,
,,,"United States
Zimbabwe
1995–2006:
Interim Government
TNG
ARPCT
USC
JVA
RRA
Galmudug
Jubaland
Puntland
UNPOS
2006–2009:
Invasion:
Ethiopia
TFG
United States[21]
Supported by:
Kenya[22]
Insurgency:
Ethiopia
TFG
Puntland
Galmudug
Supported by:
Malawi[23]
United States
IGASOM[24]
Djibouti
Eritrea
Ethiopia
Kenya
Sudan
Uganda
AMISOM[25]
Burundi
Djibouti
Ethiopia
Ghana
Kenya
Nigeria
Sierra Leone
Uganda
Allied armed groups:
ARPCT
ASWJ
UNPOS
2009–present:
Somalia
Somali Armed
Forces[25]
Regional forces
Ma'awisley[26]
Galmudug
Galmudug Security
Force
Ahlu Sunna
Waljama'a (until
2018)[27]
Himan and Heeb
(until 2015)
Hirshabelle
Khatumo
Southwestern
Somalia
United
States[25][28][29]
U.S. Army
U.S. Marine Corps
U.S. Air Force",,,,
,,,"U.S. Navy
CIA
AFRICOM
China[30][31]
People's Armed
Police
AUSSOM (2025–
present)[25]
Burundi (under
discussion)
Djibouti
Egypt (under
discussion)
Ethiopia
Kenya
Uganda
ATMIS (2022–2024)[25]
Burundi
Djibouti
Ethiopia
Kenya
Uganda
AMISOM (2007–
2022)[25]
Burundi
Djibouti
Ethiopia
Ghana
Kenya
Nigeria
Sierra Leone
Uganda
Allies
France[32]
Italy[33]
Russia[34][35]
Turkey[25][36]
United Arab
Emirates[37]
United Kingdom[38]
Non-combat support:
European Union[39]
EUTM Somalia
UNPOS (1995–2013)
UNSOM (2013–2024)
Brazil
Finland
Germany
Ghana
India
Indonesia
Nepal
Sierra Leone
Sweden
Thailand
Turkey
Uganda
United Kingdom
Zimbabwe
UNTMIS (2025–
present)
UNSOA (2009–2016)
UNSOS (2016–
present)
Independent regional
forces
Puntland
Puntland Security Force
Puntland Dervish Force
Puntland Maritime
Police Force
Jubaland
Jubaland Dervish Force
Raskamboni",,,,
,,,Movement,,,,
1991,1991,"Operation Traíra
","Brazil
Brazilian Army
Brazilian Air Force
Brazilian Navy
Colombia
Colombian Army","FARC
Comando Simón Bolívar","Colombian
conflict and war on
drugs",,
1991,1991,"1991 Iraqi uprisings
","Ba'athist Iraq
Ba'ath Party
Iraqi Army
Republican
Guard
Special Republican
Guard
Popular Army
General Security
Intelligence Service
Special Security
Support:
MEK","Shia and leftist elements of
opposition:
SCIRI/Badr Brigades
Dawa
Communist Party
Pro-Syrian Ba'athists
Army deserters/defectors
Kurdish rebels:
Peshmerga:
KDP
PUK
IMK
CPK
Jash deserters/defectors
PDKI
Diplomatic Support:
United States[60]
Military Support Iran[61]","aftermath of the
Gulf War",,
1991,2002,"Sierra Leone Civil War
","Sierra Leone
SLA (before and after the
AFRC)[62]
CDF (Kamajors,
Tamaboros, Kapras,
etc.)[63]
Foreign mercenaries
United Kingdom
(2000–2002)
Guinea
ECOMOG forces (1998–
2000)
Executive Outcomes
(1995–1996)
Supported by:
United States
Belarus[64]
UNAMSIL
Bangladesh[65]
India
Pakistan (2001–
2005)[66]
Kenya
Russia (1999–2005)
Ukraine (1999–2005)
Nigeria
Norway[67]
New Zealand
Ghana
Jordan[68]
Germany","RUF
AFRC (1997–2002)
West Side Boys (1998–2000)
Liberia (1997–2002)
NPFL (1991–2002)
Foreign mercenaries
Supported by:
Libya
Burkina Faso","spillover of the
First and Second Liberian
Civil Wars",,
,,,,,,,
1991,1995,"Croatian War of
Independence Part of
the Yugoslav Wars","1991–94:
Croatia
1994–95:
Croatia
Bosnia and
Herzegovina","1991–92:
SFR Yugoslavia
SAO Krajina
SAO Eastern Slavonia, Baranja
and Western Syrmia
SAO Western Slavonia
1992–95:
Serbian Krajina
Republika Srpska",,,
1991,1991,"Ten-Day War
",Slovenia,Yugoslavia,Yugoslav Wars,,
1991,1991,"1991 Soviet coup d'état
attempt
","Presidency of the
Soviet Union
Russian SFSR
Supreme Soviet
Congress of
People's Deputies
Council of Ministers
Supporting
republics:[69]
Armenia
Estonia
Georgia
Kazakhstan
Kyrgyzstan
Latvia
Lithuania
Moldova
Nakhichevan
Ukraine
Russian
nationalists
Russian liberals
Anti-coup and pro-
Yeltsin demonstrators
and organizations
(Democratic Russia)
Armenian
Revolutionary
Federation
Popular Front of
Azerbaijan
Belarusian Popular
Front
All-National
Congress of the
Chechen People[70]
People's
Movement of Ukraine
UNA–UNSO
Sąjūdis
Diplomatic support:
[71]
Australia
Bulgaria
Canada
Czechoslovakia
Denmark
EEC
France
Germany
Holy See
Hungary","State Committee on the
State of Emergency
Taman Guards
Kantemir Division
Communist Party
KGB
Alpha Group
Vympel Group
Supporting republics:[69][72]
Abkhazia
Azerbaijan
Byelorussia
Checheno-Ingushetia
Gagauzia
Tajikistan
Tatarstan
Transnistria
Turkmenistan
Uzbekistan
Interfront:
Intermovement
IFWP
Yedinstvo
Unitate-Edinstvo
International Movement of
Donbass
Communist Party of the RSFSR
Communist Party of Estonia
(CPSU)
Communist Party of Latvia
Communist Party of Lithuania
Liberal Democratic Party[73]
Pro-coup and anti-Yeltsin
demonstrators and organizations
Diplomatic support:
[71][74]
Afghanistan
China
Cuba
Iraq
Laos
Libya
North Korea
Sudan
PLO[75]
Vietnam
Yugoslavia
Serbia
Montenegro","Cold War, the
Revolutions of 1989,
and the dissolution of the
Soviet Union",,
,,,"Israel
Italy
Japan
Mongolia
NATO
New Zealand
Poland
Romania
South Korea
Taiwan
Turkey
United Kingdom
United States
Yugoslavia
Croatia
Slovenia",,,,
1991,1994,Djiboutian Civil War,"Djibouti
Supported by:
France",FRUD,,,
1991,1993,"Georgian Civil War
","Pro-Shevardnadze
forces
22 December 1991 – 6
January 1992
Rebel factions of the
National Guard
Mkhedrioni
Tetri Artsivi
Merab Kostava Society
Union of Afghans
2 January 1992 – 10 March
1992
Military Council[76]
Interim Government
10 March 1992 – October
1992
State Council
Interim Government
October 1992 – 31
December 1993
Government of
Georgia
Georgian Armed Forces
Internal Troops of
Georgia
National Guard of
Georgia
Supported by:
Russia","Pro-Gamsakhurdia forces
22 December 1991 – 6 January 1992
Government of Georgia
National Guard of Georgia
6 January 1992 – March 1992
National Disobedience
Committee[76][77]
March 1992 – September 1993
Gamsakhurdia's
government-in-exile
Partisans
Units of the National Guard
2 September 1993 – 6
November 1993
Zugdidi-based government
6 November 1993 – 31
December 1993
Partisans
Supported by:
Chechen Republic of
Ichkeria","post-Soviet
conflicts, the Wars in the
Caucasus, and the
Dissolution of the Soviet
Union",,
1992,2002,Algerian Civil War,"Government of
Algeria
Minor involvement:
Egypt[78][79]
Tunisia[78][79]
France[79][80]
European
Union[80]
South Africa[81]","Islamic Salvation Front
loyalists
Minor involvement:
Morocco [79][82][83]
Libya (until 1995)[79]
Saudi Arabia (pre-war)[80]
Iran (alleged)[80]
Saudi private donors[80]
Armed Islamic Group (from
1993)
Minor involvement:
Sudan (alleged)[84][85][86]
Iran (alleged)[84][85][86]
Egyptian Islamic Jihad (until
1995)[87]",,,
,,,,"Salafist Group for
Preaching and Combat (from
1998)
Minor involvement:
Al-Qaeda[84]",,,
1992,1992,"1992 Venezuelan
coup d'état attempts","Venezuelan
Government
Venezuelan Armed
Forces","MBR-200
Cuba (alleged)
DGI",,,
1992,1995,"Bosnian War Part of
the Yugoslav Wars","Until October 1992:
Bosnia and
Herzegovina
Herzeg-Bosnia
Croatia
October 1992–94:
Bosnia and
Herzegovina
1994–95:
Bosnia and
Herzegovina
Herzeg-Bosnia
Croatia
Supported by:
NATO (bombing
operations, 1995)","Until May 1992:
Republika Srpska
Serbian Krajina
SFR Yugoslavia
October 1992–94:
Herzeg-Bosnia
Croatia
May 1992–94:
Republika Srpska
Serbian Krajina
Western Bosnia
Supported by:
FR Yugoslavia
1994–95:
Republika Srpska
Serbian Krajina
Western Bosnia
Supported by:
FR Yugoslavia",,,
